YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.2524170	0.8402818	0.2666236	0.5058702	0.4844237	0.3437998	0.2536585	0.0023000	0.0441244	1.1033801
0.2053521	0.5016385	0.2830764	0.5383650	0.5482993	0.0892450	0.4188385	0.0053722	0.0816152	1.1101109
0.5247450	1.0310463	0.0030799	0.0923766	0.7266055	0.2486480	0.0075748	0.1847045	0.0879820	0.9807862
0.1790695	0.7879884	0.1222790	0.3751253	0.7420681	0.1225574	0.3455842	0.0091465	0.0921290	0.9349615
0.5335134	0.3845435	0.3830450	0.2300280	0.5218882	0.3686656	0.2284827	0.1187276	0.1051346	0.8385056
0.4123393	0.9129126	0.0387254	0.3790062	0.3243705	0.6638535	0.2097342	0.3590749	0.5177096	0.3160422
0.2395439	0.7062195	0.2498922	0.3915130	0.3594328	0.2860726	0.5730128	0.0463806	0.0679209	1.0844376
0.3869089	0.8115172	0.0921629	0.3262740	0.3166225	0.8821910	0.0263893	0.4881753	0.0598112	0.9746542
0.2399141	0.7187311	0.1133949	0.4578221	0.9089371	0.0998483	0.6551439	0.0022448	0.0561080	0.8838707
0.3758989	0.6177756	0.0907676	0.3303961	0.8341630	0.0725784	0.1486144	0.0679837	0.1252999	0.6706021
