YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0000000	0.1989423	0.4288838	0.5262214	0.5301353	1.0423631	1.0738519	0.5354439	1.1159741	1.0625844
0.7073584	0.0000000	0.4182523	0.6104987	0.5116353	1.0615251	0.9367896	0.4484037	1.0161993	0.9204253
0.6409408	0.0176957	0.0000000	0.2785477	0.4491582	1.0195900	1.0353543	0.5377906	0.9613611	0.9044995
0.7212299	0.2666042	1.0114915	0.0000000	0.4210412	1.0956489	0.9220838	0.4940128	1.0320038	0.9859863
0.6818159	0.2308736	0.6443116	0.4095069	0.0000000	1.0167247	0.9223533	0.5142138	0.9632771	0.9524694
0.7326323	0.1539094	0.2693959	0.5884549	1.0205343	0.0000000	0.9954007	0.4544517	1.0698476	1.0282321
0.4985838	0.9306118	0.3886189	0.5209538	0.4912938	0.9902743	0.0000000	0.5542960	0.9700724	1.0249063
0.9827243	0.2370918	0.3612229	0.6000445	0.4951601	0.9603592	1.0033623	0.0000000	1.1033972	0.9489236
0.6580340	0.2807455	0.4208611	0.4490367	0.4503721	1.0114522	1.0572736	1.1688254	0.0000000	0.9906985
0.7182054	0.2296950	0.4094229	0.4890606	0.5509181	1.1521036	1.0456830	0.5159560	1.0219784	0.0000000
