"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.6751382	0.0323274	0.3379734	0.6168799	0.5110860	0.3891289	0.1717692	0.6293940	0.2886503	0.6902995
50	0.6834751	0.0548264	0.2248934	0.6874416	0.4820673	0.2854542	0.1649421	0.4406493	0.4472554	0.3179743
100	0.7203143	0.0288587	0.2448002	0.8574846	0.5819505	0.3384554	0.2425045	0.2060607	0.6611101	0.1164885
150	0.6501762	0.0212182	0.2377981	0.7708802	0.5653769	0.2686979	0.3470205	0.1939518	0.6513693	0.1125012
200	0.8345719	0.0343322	0.2539515	0.7421487	0.5058134	0.2466973	0.5050359	0.0962786	0.7461073	0.0798561
250	0.7307018	0.0214118	0.2243204	0.5565261	0.5757749	0.3443581	0.8495046	0.1146646	0.5896858	0.0915257
300	0.7682545	0.0185488	0.2420353	0.5537812	0.8214880	0.1655320	0.6686539	0.0562629	0.9505521	0.0528602
350	0.6921589	0.0218288	0.2115913	0.7000975	0.5506497	0.1658640	0.5860111	0.0961474	0.7761334	0.0956593
400	0.7346934	0.0080288	0.2252906	0.7484384	0.7054594	0.1825925	0.7841509	0.0457047	0.7246512	0.0545783
450	0.7835104	0.0249084	0.2166233	0.7554493	0.8669514	0.2376702	0.7948283	0.0768080	0.7117295	0.0339425
500	0.8328575	0.0255251	0.1520297	0.6969998	0.7535112	0.1897205	0.6799634	0.0537820	0.7046303	0.0373851
550	0.7832608	0.0033908	0.1632787	0.7140912	0.6654405	0.1854777	0.6591178	0.1775462	0.6726083	0.4739272
600	0.6553745	0.0267646	0.1517588	0.7302412	0.6435721	0.1559988	0.7233577	0.2036684	0.4606078	0.6669025
650	0.7148523	0.0331774	0.1656272	0.6049618	0.7105087	0.1862765	0.5649805	0.3649716	0.3750344	0.6283131
700	0.8119674	0.0227785	0.2337985	0.7215970	0.7549455	0.1673106	0.4578500	0.4666591	0.3189826	0.6950922
750	0.7315808	0.0144095	0.1616425	0.6629969	0.5388412	0.2194171	0.3157385	0.5582245	0.3426291	0.6521713
