"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.6895774	0.5097019	0.9483414	0.6921946	0.4813559	0.4458955	0.5077366	0.5851845	0.6394323	1.0000000
50	0.6896787	0.5092560	0.9506607	0.7962192	0.4467176	0.3828348	0.3093601	0.5801858	0.7649885	0.6858884
100	0.6901079	0.5053830	0.9590277	0.8366951	0.3277907	0.3488615	0.1353688	0.5610158	0.8265630	0.3952819
150	0.6920076	0.4972203	0.9669362	0.8080286	0.2471333	0.3650453	0.0628601	0.5458087	0.8208947	0.2644323
200	0.6957339	0.4894498	0.9703951	0.7696264	0.2197910	0.3879353	0.0383755	0.5421543	0.8024006	0.2154365
250	0.6999271	0.4855472	0.9697472	0.7483849	0.2170667	0.4032086	0.0307558	0.5453325	0.7894098	0.1985556
300	0.7029322	0.4855755	0.9673168	0.7420104	0.2209408	0.4113656	0.0282126	0.5495445	0.7828162	0.1929998
350	0.7040882	0.4876383	0.9650581	0.7423233	0.2248426	0.4152864	0.0271460	0.5522625	0.7799597	0.1912215
400	0.7037931	0.4898873	0.9636905	0.7442941	0.2273963	0.4170630	0.0266174	0.5534343	0.7788327	0.1906625
450	0.7028530	0.4914372	0.9631168	0.7460275	0.2288094	0.4178398	0.0263670	0.5537554	0.7784144	0.1904889
500	0.7019071	0.4922045	0.9630085	0.7471504	0.2295226	0.4181718	0.0262720	0.5537821	0.7782656	0.1904354
550	0.7012342	0.4930366	0.9566945	0.5254854	0.2399249	0.5699102	0.2483110	0.5622812	0.5458157	0.5045306
600	0.6997626	0.5103751	0.8995864	0.4326384	0.3077378	0.6672792	0.4243667	0.5931064	0.5063203	0.7951321
650	0.6894062	0.5755646	0.8219156	0.4974509	0.4050237	0.6296680	0.4698737	0.5891208	0.5613480	0.9259802
700	0.6622835	0.6463499	0.8083724	0.5948684	0.4640143	0.5652825	0.5044975	0.5447042	0.6037581	0.9749756
750	0.6311494	0.6637515	0.8418889	0.6609111	0.5061368	0.5028561	0.5799941	0.5107036	0.6249332	0.9918563
800	0.6145153	0.6350663	0.8827609	0.7070728	0.5601790	0.4350342	0.6548395	0.5084963	0.6339299	0.9974121
850	0.6170450	0.5919235	0.9154591	0.7464796	0.6082668	0.3713583	0.6872119	0.5259715	0.6374379	0.9991903
900	0.6322013	0.5536244	0.9383118	0.7746781	0.6288357	0.3271141	0.6746253	0.5477312	0.6387331	0.9997493
950	0.6514566	0.5255855	0.9531174	0.7871707	0.6193645	0.3087991	0.6357487	0.5661257	0.6391933	0.9999230
1000	0.6691640	0.5070878	0.9618924	0.7843778	0.5883335	0.3143267	0.5902751	0.5793038	0.6393522	0.9999764

0	0.6895774	0.5097019	0.9483414	0.6921946	0.4813559	0.4458955	0.5077366	0.5851845	0.6394323	1.0000000
50	0.6896734	0.5095042	0.9487117	0.7147251	0.6191323	0.4623053	0.3495613	0.5809773	0.7432918	0.8085518
100	0.6898265	0.5084767	0.9521562	0.7758825	0.7064712	0.5624332	0.2128134	0.5640505	0.7962854	0.6314297
150	0.6904887	0.5042491	0.9591342	0.8167492	0.7453469	0.7029748	0.1603474	0.5493471	0.7974738	0.5516781
200	0.6924974	0.4970927	0.9662692	0.8381516	0.7756454	0.8134745	0.1466729	0.5441624	0.7884313	0.5218155
250	0.6959747	0.4895655	0.9717589	0.8508515	0.7989880	0.8794600	0.1441059	0.5454612	0.7818148	0.5115268
300	0.7001437	0.4834216	0.9754817	0.8589933	0.8141933	0.9134341	0.1428251	0.5489271	0.7784613	0.5081406
350	0.7040980	0.4790529	0.9778631	0.8640379	0.8228969	0.9298052	0.1409546	0.5522098	0.7770158	0.5070568
400	0.7073170	0.4761732	0.9793391	0.8669588	0.8274841	0.9378669	0.1388524	0.5546062	0.7764480	0.5067160
450	0.7096846	0.4743566	0.9802323	0.8685506	0.8298139	0.9422826	0.1370087	0.5561584	0.7762379	0.5066102
500	0.7113098	0.4732442	0.9807607	0.8693857	0.8310142	0.9450402	0.1356192	0.5571027	0.7761632	0.5065776
550	0.7123721	0.4725814	0.9810305	0.8577359	0.6497204	0.9307739	0.3076341	0.5634766	0.6304332	0.6980159
600	0.7130334	0.4723639	0.9803324	0.8014164	0.5308078	0.8278329	0.4451016	0.5878799	0.5825143	0.8751349
650	0.7132997	0.4734967	0.9769874	0.7497808	0.5172441	0.6874770	0.4730765	0.6078135	0.6005184	0.9548856
700	0.7128059	0.4771750	0.9714184	0.7286490	0.5079465	0.5885189	0.4592452	0.6130223	0.6203720	0.9847479
750	0.7110921	0.4828347	0.9658033	0.7139874	0.4821821	0.5424736	0.4474046	0.6093942	0.6313707	0.9950365
800	0.7082402	0.4889127	0.9606688	0.6941070	0.4584420	0.5273077	0.4477672	0.6033961	0.6362960	0.9984227
850	0.7047729	0.4949117	0.9552912	0.6752985	0.4478760	0.5213797	0.4563517	0.5978428	0.6382768	0.9995065
900	0.7010556	0.5011622	0.9496558	0.6650856	0.4489071	0.5142208	0.4678811	0.5931257	0.6390227	0.9998472
950	0.6971777	0.5074741	0.9448395	0.6642399	0.4558781	0.5037907	0.4795957	0.5890143	0.6392912	0.9999530
1000	0.6932994	0.5128314	0.9419181	0.6692472	0.4645719	0.4913018	0.4905801	0.5855593	0.6393847	0.9999856

0	0.6895774	0.5097019	0.9483414	0.6921946	0.4813559	0.4458955	0.5077366	0.5851845	0.6394323	1.0000000
50	0.6896732	0.5095210	0.9484677	0.6923334	0.4835206	0.4113874	0.5571125	0.4083719	0.6394323	1.0000000
100	0.6897783	0.5093649	0.9486664	0.7010374	0.5363999	0.3454989	0.7525294	0.2259602	0.6394323	1.0000000
150	0.6898956	0.5088636	0.9503729	0.7398906	0.6341022	0.2636346	0.9007374	0.1337237	0.6394323	1.0000000
200	0.6902529	0.5064365	0.9553094	0.7866416	0.6996763	0.1948885	0.9657822	0.0952928	0.6394323	1.0000000
250	0.6914848	0.5010705	0.9619748	0.8171833	0.7262478	0.1501467	0.9890864	0.0809057	0.6394323	1.0000000
300	0.6940586	0.4941122	0.9680047	0.8315655	0.7327250	0.1250525	0.9966675	0.0760741	0.6394323	1.0000000
350	0.6976726	0.4876026	0.9723493	0.8367456	0.7322975	0.1122474	0.9990025	0.0747400	0.6394323	1.0000000
400	0.7015227	0.4826683	0.9750480	0.8379447	0.7305464	0.1061249	0.9996970	0.0745559	0.6394323	1.0000000
450	0.7048929	0.4794381	0.9765474	0.8378211	0.7291266	0.1033334	0.9998986	0.0746736	0.6394323	1.0000000
500	0.7074427	0.4775473	0.9773046	0.8374418	0.7282571	0.1021056	0.9999559	0.0748191	0.6394323	1.0000000
550	0.7091647	0.4765395	0.9776531	0.8371427	0.7281115	0.1123487	0.9994578	0.2567630	0.6394323	1.0000000
600	0.7102246	0.4760470	0.9777993	0.8371297	0.7288924	0.1256592	0.9697547	0.4444339	0.6394323	1.0000000
650	0.7108271	0.4758240	0.9778597	0.8368657	0.7212741	0.1402924	0.8438518	0.5393859	0.6394323	1.0000000
700	0.7111470	0.4757328	0.9778455	0.8323805	0.6834427	0.1714435	0.6860578	0.5790961	0.6394323	1.0000000
750	0.7113011	0.4757799	0.9775310	0.8153574	0.6062953	0.2285748	0.5726307	0.5942462	0.6394323	1.0000000
800	0.7113182	0.4762503	0.9762735	0.7788001	0.5206860	0.3018776	0.5103808	0.5995966	0.6394323	1.0000000
850	0.7110737	0.4778729	0.9729644	0.7289755	0.4625950	0.3717537	0.4812072	0.6009824	0.6394323	1.0000000
900	0.7102138	0.4817930	0.9665750	0.6846773	0.4373104	0.4251974	0.4695977	0.6002429	0.6394323	1.0000000
950	0.7081791	0.4889037	0.9575202	0.6587183	0.4327560	0.4596390	0.4673020	0.5977026	0.6394323	1.0000000
1000	0.7045107	0.4986354	0.9481681	0.6501878	0.4377408	0.4780903	0.4710141	0.5935644	0.6394323	1.0000000

0	0.6895774	0.5097019	0.9483414	0.6921946	0.4813559	0.4458955	0.5077366	0.5851845	0.6394323	1.0000000
50	0.6085704	0.5095210	0.9484669	0.6921474	0.4804162	0.3900223	0.5298366	0.5234187	0.7215751	0.6823439
100	0.5333640	0.5093803	0.9485399	0.6938219	0.4992735	0.3126460	0.6425904	0.4510155	0.7376120	0.3884583
150	0.4986092	0.5092060	0.9491301	0.7140020	0.5649925	0.2416340	0.7739985	0.4134143	0.6965659	0.2561322
200	0.4850131	0.5081173	0.9520181	0.7529276	0.6344762	0.1831106	0.8587703	0.4048054	0.6544627	0.2065835
250	0.4804040	0.5046798	0.9574031	0.7882877	0.6768652	0.1420693	0.8971570	0.4111272	0.6286543	0.1895121
300	0.4798184	0.4989707	0.9634113	0.8100976	0.6950546	0.1171532	0.9072846	0.4215622	0.6161277	0.1838936
350	0.4812801	0.4925905	0.9684368	0.8205633	0.6996716	0.1039214	0.9038546	0.4307902	0.6108087	0.1820953
400	0.4836595	0.4870508	0.9719471	0.8243054	0.6982439	0.0980027	0.8957354	0.4373615	0.6087326	0.1815300
450	0.4861516	0.4830032	0.9740937	0.8247219	0.6947752	0.0961590	0.8874355	0.4415343	0.6079670	0.1813544
500	0.4882721	0.4804105	0.9752530	0.8237688	0.6911603	0.0962986	0.8807370	0.4439945	0.6076957	0.1813003
550	0.5727883	0.4789363	0.9757869	0.8224738	0.6884983	0.1200781	0.8598918	0.5121621	0.4587907	0.4989398
600	0.6509171	0.4782060	0.9759670	0.8210026	0.6790820	0.1551290	0.7489568	0.5988142	0.4772051	0.7928204
650	0.6872518	0.4779239	0.9759188	0.8140716	0.6287353	0.2050073	0.5867718	0.6374362	0.5524777	0.9251449
700	0.7016590	0.4779986	0.9753261	0.7862491	0.5251434	0.2865490	0.4714147	0.6380983	0.6011241	0.9746932
750	0.7069235	0.4788992	0.9728356	0.7257682	0.4299216	0.3852332	0.4235064	0.6261850	0.6241544	0.9917644
800	0.7083254	0.4822477	0.9656724	0.6550178	0.3892175	0.4671865	0.4186125	0.6142277	0.6336991	0.9973829
850	0.7071989	0.4908253	0.9519008	0.6127933	0.3914421	0.5142983	0.4317931	0.6041591	0.6373692	0.9991812
900	0.7030753	0.5057559	0.9355884	0.6075536	0.4115188	0.5295828	0.4507504	0.5942854	0.6387126	0.9997465
950	0.6957225	0.5227529	0.9244145	0.6234966	0.4350040	0.5238342	0.4726007	0.5841833	0.6391872	0.9999221
1000	0.6867808	0.5349325	0.9215321	0.6457891	0.4577593	0.5061034	0.4963283	0.5757928	0.6393504	0.9999762

0	0.6895774	0.5097019	0.9483414	0.6921946	0.4813559	0.4458955	0.5077366	0.5851845	0.6394323	1.0000000
50	0.6934716	0.4651768	0.9503605	0.7796876	0.4672142	0.4003396	0.4365883	0.5853395	0.6394323	1.0000000
100	0.7091914	0.4367342	0.9578706	0.8198028	0.4037590	0.3652088	0.3723846	0.5864743	0.6394323	1.0000000
150	0.7260658	0.4230329	0.9654076	0.8058857	0.3369744	0.3665161	0.3406710	0.5893920	0.6394323	1.0000000
200	0.7385766	0.4144698	0.9693259	0.7738813	0.2972641	0.3830549	0.3233318	0.5929886	0.6394323	1.0000000
