YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1287725	0.2218708	0.8946488	1.0254734	0.9862665	0.3440935	0.9698191	0.5097765	0.3112670	0.7911333
0.0006665	0.0151426	0.8377688	0.6107864	0.4380514	0.8279543	0.9474085	0.5440304	0.3961621	0.7924695
0.1707237	0.3880903	0.9417150	0.9888155	0.9922597	0.4573354	1.0367609	0.5549390	0.3961258	0.6682207
0.2894118	0.5799688	0.8861261	0.8099700	0.5286721	0.5719732	0.9460298	0.8530518	0.5391550	0.6293124
0.2366572	0.4614052	0.8028573	0.9425496	1.0179154	0.2598401	0.9952971	0.8076763	0.4924818	0.5605806
0.2795227	0.3463909	0.8373937	0.8440861	0.9698138	0.1232307	1.0297043	0.1909401	0.3046172	0.7833187
0.2429739	0.4492455	0.9452511	0.9792046	0.7482089	0.2082960	1.0278807	0.8035981	0.4531478	0.5836552
0.7940720	0.8437465	0.8693948	0.5152690	0.5765755	0.8564774	0.9800017	0.8108794	0.5722705	0.5019098
0.6357158	0.6428475	0.8996086	0.4464936	0.3651927	0.7302348	0.9411063	1.0244335	0.7334656	0.2713472
0.7019855	0.5424739	0.7838304	0.8302168	0.6432585	0.4386770	0.9339509	0.3173716	0.3391153	0.7614208
