YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.4004317	0.7884094	0.8066230	0.1644078	0.6421194	0.5741103	0.7464710	0.7845137	0.0601132
0.0022545	0.0000000	0.8425663	0.8136845	0.1531526	0.8143214	0.6714834	0.6729009	0.9695500	0.0433028
0.8338883	0.6600613	0.0000000	0.9648726	0.1451351	0.7088756	0.5724832	0.6431407	0.5411447	0.1161389
0.7605055	0.6389153	0.0306676	0.0000000	0.1904818	0.7135747	0.5248302	0.7342609	0.7211147	0.1120573
0.4147712	0.2016797	0.7923128	0.6651097	0.0000000	0.8316515	0.6505381	0.6422058	0.8703790	0.0050424
0.7637908	0.7060473	0.5427664	0.0462801	0.8010245	0.0000000	0.2776845	0.4329969	0.0170308	0.6531978
0.3860250	0.2172637	0.7968440	0.7658933	0.1386098	0.7350386	0.0000000	0.7372330	0.8152824	0.0746674
0.4117735	0.1920793	0.7931966	0.7153259	0.1325722	0.6563779	0.4422863	0.0000000	0.7211215	0.1632725
0.2815682	0.2423798	0.7886238	0.7912734	0.2422707	0.7599551	0.7141328	0.5306904	0.0000000	0.1206456
0.3671141	0.2499791	0.7555674	0.7204834	0.1269843	0.7711480	0.6819512	0.7632641	0.6215097	0.0000000
