"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.1359378	0.5671101	0.7366895	0.0523286	0.1086864	0.6893411	0.7663593	0.0308657	0.1707713	0.0972857
50	0.0993758	0.4989775	0.6363149	0.0730434	0.0773289	0.5865161	0.7279357	0.0465206	0.1647969	0.1654005
100	0.1538187	0.3754468	0.5554709	0.0318013	0.0839435	0.4660476	0.8433815	0.0371922	0.2660668	0.3018001
150	0.1531342	0.3480159	0.6210445	0.0469351	0.1389617	0.6003807	0.7441341	0.0441703	0.1978098	0.3658934
200	0.2672175	0.2735564	0.5560951	0.0585642	0.1746085	0.4446440	0.7068353	0.0444148	0.2190476	0.4947129
250	0.2995829	0.2299465	0.5900090	0.0940762	0.2077980	0.4652571	0.8139300	0.1041831	0.1862624	0.4261523
300	0.3713317	0.2046324	0.4078756	0.0558668	0.2783177	0.5145144	0.9170418	0.0534106	0.2093724	0.4930021
350	0.4075246	0.2861606	0.4564455	0.0595003	0.3000624	0.4479975	0.7922671	0.0490492	0.3109605	0.4597431
400	0.4771007	0.2379481	0.4318916	0.0345775	0.3791902	0.3356513	0.8014124	0.0490199	0.3073868	0.4147916
450	0.5415587	0.2190099	0.5038249	0.1540590	0.3421273	0.2733936	0.7973176	0.0280492	0.2806743	0.4438713
500	0.5140643	0.2192821	0.4974981	0.0808079	0.4339046	0.3523631	0.7649969	0.0253788	0.2871893	0.4750442
550	0.5825672	0.1818517	0.7376277	0.1240645	0.4937689	0.3964337	0.7748580	0.0174834	0.3188923	0.5095938
600	0.3909937	0.3274806	0.7036337	0.1963656	0.5300117	0.2795396	0.8104082	0.0327425	0.4042684	0.3356654
650	0.3597168	0.4861157	0.7157743	0.2719527	0.4333962	0.3606451	0.8377247	0.0364860	0.3141896	0.2536255
700	0.2379520	0.4596078	0.8064609	0.2892764	0.4061661	0.4908314	0.7276968	0.0278507	0.2562828	0.1991679
750	0.1244579	0.5143830	0.7806875	0.1992822	0.3657196	0.4544257	0.8559751	0.0633000	0.2372517	0.1595311
800	0.1566150	0.6194258	0.7715201	0.1545124	0.2772242	0.4638003	0.7516119	0.0381110	0.2398134	0.0880666
850	0.0940202	0.4443959	0.7566955	0.1262099	0.2075898	0.5676086	0.6754263	0.0252594	0.2489731	0.1745406
900	0.0760487	0.4037841	0.6744653	0.0797475	0.1195006	0.6294976	0.5958618	0.0287986	0.2933772	0.0915219
950	0.1672682	0.4893727	0.8844859	0.0247470	0.0604837	0.6861037	0.5534198	0.0494368	0.2371519	0.1811176
1000	0.1855448	0.5185158	0.6977980	0.0364246	0.0777221	0.6823696	0.7247128	0.0539170	0.2006459	0.1047710

0	0.1442607	0.5959451	0.7324742	0.0727052	0.1071924	0.6757319	0.6689663	0.0304038	0.1446186	0.1046952
50	0.1440392	0.5073577	0.6835749	0.0172607	0.0867635	0.8314844	0.8340137	0.0383706	0.2133786	0.1363258
100	0.1145153	0.5689169	0.7015341	0.0307629	0.0539114	0.6498146	0.7669034	0.0210201	0.1623131	0.1580113
150	0.0758297	0.4927828	0.6064303	0.0354665	0.1103097	0.5632050	0.7052163	0.0200420	0.2613416	0.1016882
200	0.0967146	0.4525265	0.6903351	0.0418942	0.1495187	0.6891222	0.9463975	0.0379429	0.1074799	0.0646088
250	0.1021248	0.4974270	0.6573707	0.0241512	0.1489672	0.6518926	0.5155458	0.0336536	0.2073172	0.1174877
300	0.1112393	0.5201437	0.6381126	0.0428948	0.1024794	0.5866234	0.7029331	0.0746626	0.2481386	0.0897867
350	0.0750357	0.3783102	0.6293499	0.0136669	0.0704652	0.7439727	0.7559038	0.0353390	0.1561558	0.1629297
400	0.0972280	0.4902176	0.5886412	0.0519124	0.1868697	0.6007158	0.5882449	0.0277868	0.1891444	0.0831050
450	0.1535321	0.3521203	0.8218545	0.0378877	0.1204720	0.6438463	0.6118663	0.0292642	0.2654287	0.1693298
500	0.1887897	0.3958466	0.7260887	0.0520333	0.1376967	0.6686678	0.6068583	0.0246785	0.2967253	0.1153705
550	0.2295167	0.4189956	0.7576935	0.0425959	0.1214240	0.5572277	0.7416754	0.0318133	0.2584846	0.1933202
600	0.2176081	0.4495005	0.8971629	0.0825900	0.0869826	0.5772125	0.6582557	0.0390836	0.2446636	0.1653104
650	0.1523504	0.5614576	0.9778623	0.0571848	0.0898239	0.6286759	0.6895199	0.0562363	0.2050481	0.1902429
700	0.1451048	0.5588138	0.9418735	0.0692481	0.1260422	0.7012282	0.8143634	0.0367230	0.1892238	0.1579145
750	0.0789167	0.6287077	0.7772260	0.0765376	0.1767487	0.6027288	0.6781633	0.0498650	0.2245296	0.0762775
800	0.1097461	0.5942270	0.8485287	0.0363147	0.1323624	0.5995550	0.6263207	0.0269337	0.2646976	0.1091565
850	0.0800197	0.4631275	0.8070847	0.0966808	0.1448460	0.5515859	0.8633966	0.0226313	0.2160954	0.1001710
900	0.0807071	0.6827864	0.8550178	0.0404950	0.1853577	0.6404548	0.7756251	0.0265636	0.3440091	0.0878458
950	0.0528612	0.5743488	0.7470105	0.0625412	0.1094098	0.6898839	0.7172911	0.0731386	0.2393348	0.0890426
1000	0.0921313	0.4957487	0.8437077	0.0742781	0.1468133	0.6034596	0.6481352	0.0413353	0.2320001	0.0885965

0	0.1081175	0.5298602	0.7234753	0.0473462	0.1706767	0.7692974	0.7685286	0.0416926	0.1809585	0.1287109
50	0.2266800	0.5844097	0.7184560	0.0508577	0.1046140	0.7318622	0.6569081	0.0077207	0.2207200	0.1442181
100	0.1195460	0.8187433	0.8466384	0.0365407	0.0866692	0.6559283	0.7107219	0.0062343	0.2012240	0.0685150
150	0.0814864	0.8276947	0.7848254	0.0558740	0.0921600	0.6997622	0.5743801	0.0036319	0.2240724	0.0880225
200	0.0333753	0.6747655	0.8219094	0.0294767	0.1431781	0.6881474	0.5227464	0.0058794	0.1498167	0.1184721
