YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.6621032	0.3233842	0.9420609	0.5558931	0.0830814	0.2664229	0.5912732	0.9966107	0.1109795	0.0886986
0.6185003	0.4941077	0.7625092	0.5355036	0.1825670	0.3056135	0.8452703	0.8938653	0.0533350	0.0809186
0.7103870	0.4026463	1.0000000	0.7238205	0.3929583	0.3727730	0.5449940	0.9422074	0.2967744	0.0283520
0.7103870	0.4026463	1.0000000	0.6976398	0.2605714	0.3670753	0.7398331	0.9641962	0.2497927	0.0052595
0.7103870	0.4026463	1.0000000	0.3482705	0.0729864	0.2899908	0.7081211	0.8462276	0.4285217	0.0749194
0.4925426	0.4608744	0.8391758	0.5709271	0.1289734	0.3365827	0.7889272	1.0000000	0.0000302	0.0392817
0.7103870	0.4026463	1.0000000	0.4319143	0.1197654	0.5573767	0.5135071	0.7186277	0.1718958	0.0935781
0.6854841	0.4026463	1.0000000	0.1147991	0.5736795	0.3841395	0.6015108	0.8404947	0.0007088	0.0881873
0.8414159	0.2766000	0.9467945	0.6124545	0.3663151	0.3658191	0.7417539	1.0000000	0.0005646	0.0831614
0.6731581	0.4387989	0.5764872	0.3968069	0.0231024	0.3150451	0.8272634	0.8357723	0.1601757	0.0812489
