YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.5943666	0.5164170	0.0294138	0.8516369	0.9265357	0.9554658	0.2387045	0.8258726	0.0107012	1.0000000
0.3278896	0.9438519	0.0028586	0.8343887	0.8635036	0.8989250	0.5883434	0.9999281	0.0135410	1.0000000
0.9992273	0.0145364	0.0525804	0.9459263	0.9203441	0.9103697	0.0053845	0.7877962	0.0378971	0.6598341
0.9993140	0.0136790	0.0530302	0.8873405	0.9350369	1.0000000	0.0079377	0.9985368	0.0458552	1.0000000
0.9991923	0.0148783	0.0524089	0.9728792	0.9022477	0.8207541	0.0047609	0.9992135	0.0356684	0.6839571
0.9104540	0.0139658	0.0528749	0.9059105	0.9296731	0.9999675	0.1311431	0.7422384	0.0458552	1.0000000
0.2612397	0.9999999	0.0023428	0.8626935	0.9376219	0.8640163	0.6259533	0.9984719	0.0466704	0.7207911
0.2182479	1.0000000	0.0024368	0.8232272	0.8554520	0.8184323	0.6667436	0.9983550	0.0480837	0.9615491
0.3058399	0.9999999	0.0021329	0.9198962	0.8614410	0.8768069	0.6129870	0.9976054	0.0559932	0.8623775
0.0912502	0.9999998	0.0022654	0.9021573	0.8675864	0.9454498	0.5207088	0.6546247	0.0133383	0.9245570
