YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.1253402	0.5860055	0.6143414	0.9603913	0.0409367	0.0150574	0.0415883	1.0467262	1.0370854	1.0454534
0.0716037	0.2693212	0.6440203	0.9365431	0.0286347	0.0136718	0.0494896	1.0005252	0.9524310	0.9687885
0.4755662	0.9070928	0.2775500	0.9433978	0.0497984	0.0296183	0.0572048	1.0635696	0.9639122	1.0229995
0.3193602	0.5859837	0.6285175	0.4684297	0.0310076	0.0163584	0.0391483	1.0226528	1.1195318	1.0166890
0.2222237	0.5275308	0.6359817	0.9828073	0.0220297	0.0211580	0.0285651	0.9995385	1.0461730	0.9587785
0.2737694	0.5510509	0.5682208	1.0233442	0.0361322	0.0040642	0.0762498	0.9263495	0.9098879	0.9525514
0.2247285	0.5592841	0.6159045	1.0546970	0.0558184	0.0235378	0.0316314	1.0867972	1.0246174	1.0451072
0.1989248	0.6145232	0.6091442	0.9291673	0.0320420	0.0193608	0.1086748	0.5732255	1.0486565	1.0419794
0.4314472	0.8042617	0.4661281	0.8173206	0.0189395	0.0184065	0.0748732	1.0947843	0.5375365	0.9454600
0.3089922	0.6821077	0.5012870	0.9487765	0.0505907	0.0132408	0.0492570	0.9372301	0.9829910	0.5966231
