"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.5642228	0.5765559	0.3566428	0.6225376	0.2454553	0.3154589	0.0723631	0.1248319	0.6462914	0.7882823
50	0.3696836	0.6905711	0.3397248	0.6834489	0.3243621	0.3217006	0.2610178	0.1619214	0.7290570	0.7066538
100	0.3607183	0.6412993	0.4414848	0.6343463	0.2763830	0.4273174	0.4089271	0.1620857	0.5846685	0.6457251
150	0.3758630	0.5689344	0.4494720	0.6730728	0.3422071	0.2466501	0.6039243	0.1005923	0.5154434	0.5632228
200	0.3771190	0.6221427	0.4607765	0.6940314	0.2764276	0.2711688	0.5370069	0.1557700	0.3985915	0.5913123
250	0.3308230	0.5784367	0.3432359	0.7852049	0.2590196	0.3086342	0.4228608	0.1254712	0.2681952	0.5714412
300	0.2823421	0.5669547	0.3990635	0.6826701	0.3128989	0.3259662	0.5376147	0.1047813	0.3160343	0.6518438
350	0.4516577	0.6542481	0.4285394	0.7913934	0.3524645	0.2677652	0.5171649	0.3166125	0.2704067	0.5831275
400	0.3837357	0.7045029	0.4785248	0.7809945	0.3166562	0.2342671	0.5601882	0.2483725	0.2640808	0.5513348
450	0.3977258	0.7853670	0.3254493	0.6387306	0.3500776	0.2134095	0.6450278	0.2858977	0.3002487	0.6367957
500	0.3903907	0.6842582	0.4007090	0.6626053	0.2841188	0.2344936	0.6102431	0.2084475	0.3381833	0.5684555
550	0.4071063	0.7461085	0.3269806	0.8375244	0.3014710	0.2315071	0.6626972	0.3002929	0.3806983	0.4850109
600	0.4296037	0.5545027	0.3821771	0.6570799	0.3299172	0.3558799	0.5953022	0.2935456	0.4007797	0.5239478
650	0.3031836	0.6331087	0.3989299	0.6631609	0.2607612	0.2445067	0.2941609	0.2370430	0.3138463	0.5660335
700	0.3301032	0.7201978	0.3768145	0.6515045	0.3556609	0.3583016	0.3005547	0.1859786	0.4335033	0.7968604
750	0.3127035	0.5468953	0.2376564	0.6997895	0.3373098	0.2120948	0.3367485	0.2004790	0.5627221	0.7270799
800	0.3659715	0.6521797	0.3991468	0.7625138	0.3253859	0.3977545	0.3220528	0.2058163	0.5902660	0.9166915
850	0.3658821	0.5604814	0.4163638	0.6869846	0.3123704	0.2760185	0.2274020	0.1419086	0.5104985	0.8297602
900	0.4469904	0.7415544	0.3271534	0.7384122	0.3023300	0.2951806	0.2698560	0.1346542	0.6317002	0.7113416
950	0.5482830	0.6822844	0.4311181	0.7351944	0.3242300	0.2993125	0.1950184	0.1393959	0.7028627	0.7002918
1000	0.3833578	0.5171028	0.4976394	0.7109151	0.3279665	0.2698882	0.1789510	0.1279927	0.7539620	0.6258722

0	0.5429581	0.8102550	0.2903581	0.6484344	0.2770092	0.2810542	0.0733698	0.0794751	0.5358488	0.7036515
50	0.3797472	0.4265543	0.3773809	0.8892231	0.3195437	0.2917609	0.1171887	0.1541421	0.4389995	0.5399271
100	0.3681119	0.4235365	0.3019099	0.6967714	0.2717951	0.1968196	0.1066938	0.0632307	0.2751827	0.5441281
150	0.2126215	0.4489570	0.3059363	0.6996830	0.2437472	0.3269297	0.1141443	0.0791464	0.1354034	0.6367432
200	0.1715932	0.4189589	0.3493766	0.7309517	0.2809629	0.3560359	0.1580203	0.1314015	0.1186788	0.5289870
250	0.1301692	0.4328653	0.3078382	0.5336179	0.2830522	0.2602822	0.1191338	0.1379035	0.0947004	0.5967774
300	0.1630535	0.5175235	0.3676712	0.6429902	0.2880087	0.4027756	0.1419972	0.1290995	0.0801687	0.5184982
350	0.2077393	0.4806024	0.4702860	0.6391889	0.2273370	0.3076606	0.2440072	0.1544807	0.1031336	0.4789836
400	0.2041543	0.4184334	0.3497898	0.7360450	0.2448291	0.4345508	0.2089102	0.1793701	0.0941159	0.5127051
450	0.1650651	0.3862910	0.3631615	0.7295422	0.3070731	0.4056592	0.1414795	0.1464985	0.1472228	0.6186250
500	0.1789861	0.4694779	0.3701985	0.6873081	0.2526520	0.3896590	0.1473241	0.1266039	0.1220511	0.6157914
550	0.2731533	0.4214999	0.3381869	0.6435082	0.2573461	0.3790225	0.1783957	0.2420503	0.4158439	0.6211292
600	0.5032298	0.6025696	0.3662563	0.7121749	0.3112212	0.4423354	0.2286961	0.2058070	0.7201949	0.6501479
650	0.4022483	0.5840435	0.3123391	0.8027920	0.3060305	0.4029834	0.1694395	0.1790135	0.6638827	0.7260005
700	0.3966424	0.6588155	0.3525442	0.8054135	0.2704354	0.3949651	0.2038141	0.1527276	0.7781334	0.6216399
750	0.3637923	0.6546488	0.3654888	0.4736840	0.3082447	0.2955358	0.2072230	0.1866678	0.6421839	0.6833420
800	0.4268376	0.5905604	0.3824044	0.7361182	0.4409836	0.2846973	0.1248718	0.0929760	0.6547435	0.6787028
850	0.4038423	0.6197188	0.3534707	0.6897484	0.3101263	0.3061048	0.1148276	0.1069322	0.7145251	0.6663798
900	0.3341874	0.5783091	0.4285223	0.7986400	0.2764507	0.2877838	0.0704573	0.0749152	0.6749252	0.6803023
950	0.4727232	0.6534374	0.2500925	0.5476516	0.2520136	0.3011109	0.0554136	0.1273529	0.5488098	0.6965177
1000	0.3054968	0.7461896	0.3870878	0.5828903	0.2288342	0.3255972	0.0801374	0.0744370	0.6846057	0.6904095

0	0.5167338	0.7438063	0.4163412	0.6635966	0.2393714	0.3052070	0.0913789	0.0920092	0.6577737	0.6816707
50	0.3108889	0.7513267	0.3643621	0.7031835	0.3136744	0.2852302	0.0693652	0.1459493	0.5582863	0.6959392
100	0.3992718	0.7244722	0.3805988	0.8205799	0.2725711	0.4300115	0.0960141	0.1575696	0.3854355	0.6514497
150	0.4019619	0.6249659	0.2546865	0.8289528	0.2517054	0.3148903	0.1123689	0.1952690	0.3415229	0.6417451
200	0.4121283	0.6565907	0.3818751	0.7649957	0.2058093	0.3452728	0.1322237	0.1683371	0.3961347	0.8561420
250	0.3688893	0.7068063	0.3536735	0.6163646	0.1946408	0.3918675	0.1664556	0.1307977	0.3258197	0.7638015
300	0.3761804	0.6610258	0.3487813	0.8031698	0.2309842	0.4065078	0.1414135	0.1208824	0.5019991	0.7423826
350	0.3578837	0.6309643	0.3514848	0.8055128	0.2355951	0.3662568	0.1216641	0.1074095	0.4422027	0.7004097
400	0.3414382	0.6798021	0.4403617	0.7619590	0.3505866	0.4228050	0.1695795	0.1149127	0.4942396	0.7259193
450	0.2951724	0.6438985	0.3802257	0.7770239	0.2759890	0.3407003	0.1112978	0.1116385	0.4230390	0.6364306
500	0.3113838	0.7096441	0.3413924	0.5407921	0.2754056	0.4572206	0.0814640	0.1025474	0.4392748	0.6462263
550	0.3308712	0.6171268	0.3919951	0.6668555	0.2868438	0.3522319	0.1009418	0.1451917	0.4826843	0.6368740
600	0.3150617	0.6539165	0.3121618	0.7325036	0.2913187	0.3490283	0.0749475	0.1708031	0.6680226	0.8772486
650	0.4066575	0.6316251	0.2763480	0.7601389	0.3202378	0.3756125	0.0936736	0.1051301	0.7181477	0.6294404
700	0.3541087	0.6132863	0.4150335	0.6261879	0.3177233	0.2945907	0.1335733	0.1396527	0.5301178	0.6618555
750	0.3221144	0.6786021	0.4875868	0.7071988	0.3268473	0.2950821	0.1491283	0.1207714	0.6879906	0.7331462
800	0.4101068	0.6047389	0.4159975	0.6616755	0.2456197	0.2578688	0.1239345	0.1295942	0.6960427	0.7017440
850	0.3903260	0.7010422	0.4281230	0.7412612	0.2804017	0.2708146	0.1308687	0.0975210	0.6725761	0.7427427
900	0.4219571	0.6428916	0.3883017	0.8971317	0.2968619	0.3632663	0.1763806	0.1572850	0.5299809	0.6829669
950	0.3748543	0.6281258	0.3285614	0.7294179	0.2553532	0.2763544	0.1115096	0.1543031	0.6557177	0.7262598
1000	0.4392854	0.6428650	0.4238008	0.6869235	0.2882911	0.3740085	0.0895761	0.1267971	0.7036812	0.7381028

0	0.5509218	0.7029716	0.2982259	0.6638517	0.2686257	0.2449717	0.0746645	0.0781181	0.7231504	0.7172962
50	0.4568379	0.7517964	0.3426623	0.7036246	0.1887748	0.4798655	0.0938615	0.0453712	0.6191298	0.8618208
100	0.3468625	0.5698004	0.3390918	0.6770403	0.2316041	0.4445041	0.0727480	0.0563108	0.8004813	0.6632405
150	0.3940707	0.6531370	0.3968743	0.8248687	0.1061444	0.5032532	0.0463049	0.0782044	0.6350300	0.6552972
