YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0595149	0.0000000	0.3920621	0.0769736	0.1521188	0.6989821	0.7595460	0.0000000	0.3022343	0.7839775
0.0614287	0.0295749	0.0000000	0.3829609	0.7820197	0.0000000	0.0382839	0.5577476	0.1160501	0.6989482
0.7628511	0.4807062	0.0000000	0.5311474	0.7314850	0.6223718	0.0000000	0.6557084	0.1515815	0.7064904
0.6310733	0.4598523	0.4704435	0.0000000	0.2284743	0.6835836	0.1827436	0.2715209	0.0000000	0.7079177
0.0828891	0.5908325	0.6142593	0.1506268	0.1815608	0.7198819	0.7503816	0.0000000	0.7737751	0.0000000
