YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0658719	0.4020371	0.4768147	0.4559231	0.3213807	0.1775148	0.5359847	0.1078250	0.1461320	0.4630582
0.0681475	0.5632785	0.5158642	0.3190845	0.2811869	0.0928032	0.2025988	0.6956052	0.4163687	0.0159397
0.1057133	0.5475139	0.6446557	0.3492406	0.3676601	0.1748091	0.4099648	0.4806191	0.5365111	0.2394893
0.0479897	0.5019525	0.6522496	0.5321837	0.1553738	0.4015206	0.3521929	0.8364975	0.6548471	0.6626062
0.0564293	0.5782291	0.3799157	0.2538945	0.2598807	0.0275478	0.3287352	0.4391306	0.3305644	0.0011164
0.0908423	0.5159806	0.5681520	0.3448036	0.2320992	0.3748621	0.2512378	0.7201891	0.4238878	0.5182473
0.0813072	0.5025981	0.4813569	0.2458831	0.3457626	0.5421277	0.6672418	0.4258549	0.4014205	0.6171404
0.1167161	0.5474438	0.5724548	0.2732703	0.3188012	0.0497376	0.3645936	0.5474649	0.3756992	0.0077812
0.1108749	0.4922728	0.3156660	0.2100044	0.3062684	0.1988419	0.3748537	0.3125623	0.3448740	0.3113346
0.1423976	0.3443354	0.3847009	0.2680572	0.2295776	0.4023290	0.2680568	0.7534296	0.5356652	0.7022486
