YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.3558341	0.1336365	0.0278168	0.2522193	0.6134313	0.1937687	0.6725066	0.5167114	0.5081980	0.0207807
0.4800763	0.1534953	0.1541500	0.2678135	0.7840506	0.2611233	0.7104055	0.6616007	0.7960008	0.0003167
0.3255529	0.2802009	0.1353689	0.1990068	0.7393381	0.2278634	0.6542178	0.7059359	0.7526502	0.0509525
0.3696315	0.2224075	0.0460998	0.3179395	0.5975535	0.2965185	0.8542889	0.6914474	0.7814894	0.0596202
0.3559897	0.0510612	0.0486685	0.3829116	0.5920958	0.2567882	0.6936965	0.8247206	0.7923037	0.0236717
0.1136044	0.1687717	0.2292895	0.2747808	0.6701147	0.2191859	0.6183170	0.6725102	0.6476334	0.0041656
0.3956035	0.0023162	0.1209626	0.3970118	0.1904614	0.7060607	0.6192032	0.6992986	0.6027325	0.0085729
0.4072346	0.0001799	0.1287605	0.3066120	0.5831565	0.3039172	0.5863539	0.5558311	0.7418092	0.0292810
0.4620983	0.0102287	0.2049130	0.2150433	0.7225080	0.3438941	0.6244211	0.6575770	0.5904135	0.0246382
0.3039865	0.0083859	0.0082456	0.2428253	0.7679423	0.2974802	0.6999875	0.7203897	0.6156175	0.0016205
