YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0162524	0.8437826	0.2966490	0.3412556	0.5836141	0.2210915	0.6425063	0.2467870	0.0263593	0.6538234
0.0202733	0.5788334	0.1136437	0.1760928	0.1757152	0.1818018	0.6751832	0.2529380	0.5809390	0.7064901
0.0331224	0.7687546	0.2036244	0.3856113	0.1480568	0.0744665	0.7193980	0.3287317	0.1589068	0.6799586
0.0178264	0.7124697	0.2314992	0.3878672	0.1386268	0.1125384	0.8484557	0.2765813	0.6474722	0.7673562
0.0393839	0.7137319	0.4237800	0.2075588	0.5951294	0.4436193	0.5077766	0.1480007	0.1229760	0.7801380
0.0177343	0.7153907	0.4102627	0.4570048	0.0816044	0.0510095	0.6063769	0.2671721	0.1648205	0.4797669
0.0227697	0.8214036	0.2303923	0.3503726	0.6127082	0.3311117	0.5946811	0.1924879	0.1470575	0.6018588
0.0147937	0.8172735	0.2638325	0.0661368	0.0708821	0.0698812	0.6280452	0.2314392	0.3029341	0.7532318
0.0016083	0.7660613	0.0581800	0.0206197	0.1597915	0.0948068	0.6860199	0.3210795	0.0455043	0.6644586
0.0293565	0.7215263	0.2812114	0.2619529	0.6284071	0.2640199	0.7565795	0.0837858	0.3723473	0.7141958
