YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.3644455	0.4898293	0.7724547	0.0846118	0.7511183	0.6641261	0.8476893	0.5103665	0.1749762	0.3901367
1.0715633	0.2611665	0.8014214	0.1236970	0.7916192	0.6448155	0.6679510	0.2324576	0.1050574	0.1418542
1.0723344	0.2581940	0.4412172	0.0779219	0.7702297	0.6772678	0.6678617	0.2511033	0.0945543	0.2064146
0.9125679	0.4451582	0.7228701	0.0455333	0.6982968	0.7504903	0.7679498	0.3008953	0.2775050	0.3074984
0.9096896	0.5367741	0.6917904	0.1669590	0.4271150	0.7508109	0.7764606	0.3839824	0.2045864	0.3227274
0.9906997	0.2450492	0.3329834	0.1887763	0.2793397	0.3489313	0.8462077	0.2420663	0.2214104	0.2120776
0.9150948	0.4140186	0.6699209	0.1072053	0.6548279	0.6516078	0.4178187	0.2891587	0.1718596	0.2712080
0.9509258	0.4847954	0.7598278	0.0948131	0.8582702	0.7417495	0.6569744	0.1562266	0.1823271	0.2908777
0.8800410	0.4746313	0.7900370	0.1088228	0.8011809	0.8078650	0.7671176	0.4445362	0.0901319	0.3256701
0.9112788	0.5088190	0.7698540	0.1045722	0.6323894	0.7284266	0.7227903	0.2483876	0.1369947	0.1568694
