YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.6917506	0.2766180	0.5331272	0.7025798	0.0652470	0.3517975	0.6343607	0.1059627	0.7819307	0.1537113
0.6898331	0.0837809	0.3746912	0.6744835	0.0701798	0.4755724	0.6491942	0.2300579	0.6140757	0.2716906
0.8702191	0.3610892	0.3574490	0.6341341	0.1285232	0.3599164	0.7330082	0.5411370	0.6920252	0.1584156
0.8500877	0.3266645	0.3366076	0.6553609	0.0571742	0.6796773	0.7496008	0.5172490	0.7430135	0.0082531
0.6252652	0.4177972	0.3605144	0.4607813	0.1116449	0.4496328	0.8572357	0.2841537	0.6877700	0.1762250
0.6731948	0.2765123	0.2407120	0.8015374	0.0724524	0.5831567	0.5987906	0.2759378	0.6596561	0.0170383
0.6041893	0.2561534	0.4034163	0.6799700	0.0580520	0.5535152	0.6630175	0.6375109	0.7393606	0.1486590
0.6725919	0.2121898	0.3651987	0.5361605	0.1201819	0.4524542	0.6098317	0.3763772	0.6107950	0.2198803
0.7867199	0.1841724	0.2614215	0.4104607	0.1205045	0.5839856	0.6978273	0.2328842	0.7571189	0.2150940
0.6795068	0.0887766	0.3480184	0.7364056	0.1029400	0.4116224	0.8069463	0.5786431	0.3700148	0.2259815
