YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.8236210	0.1288726	0.4617607	0.1422964	0.9705009	0.8755529	0.4979374	0.4729338	0.1979755	0.6448897
0.9164754	0.0545123	0.2456790	0.2402348	0.8477308	0.6852152	0.1264599	0.5680528	0.0228211	1.0000000
0.6531985	0.0758137	0.3815053	0.4511464	0.7040705	0.5045853	0.0631622	0.6060335	0.0347108	0.9186080
0.9304012	0.1234071	0.6356505	0.2460977	0.9807950	0.9732759	0.3262142	0.5071974	0.0745401	1.0000000
0.9943234	0.0455122	0.3686824	0.2533877	0.9654297	0.8421613	0.1169922	0.5851337	0.0153870	1.0000000
0.6257198	0.1369993	0.6565796	0.2054230	0.9363312	0.7629391	0.1699720	0.7386917	0.0745401	1.0000000
0.9245991	0.1245258	0.5741276	0.2012180	0.9128074	0.9512518	0.2916875	0.4846675	0.0745401	1.0000000
0.9552922	0.1248967	0.4937428	0.2815740	0.9120742	0.9442571	0.2705995	0.5361078	0.0745401	1.0000000
0.4243950	0.0430139	0.4000836	0.2283066	0.9700146	0.8831960	0.6551268	0.5627283	0.0414110	1.0000000
0.9476227	0.0444710	0.5504665	0.2685658	0.9353477	0.6913840	0.0946926	0.6118313	0.0801992	0.9549106
