YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000000	0.0061838	0.0332862	0.7906447	0.4626387	0.9578323	0.0399272	0.8057996	0.8176495	0.7893582
0.4633035	0.0000000	0.4158838	0.6286155	0.5471187	0.6542780	0.0411939	0.6835246	0.7163770	0.7129997
0.7726858	0.0142272	0.0000000	0.5297126	0.5187034	0.6693136	0.0320818	0.7028376	0.7529251	0.7921178
0.2565623	0.5343929	0.9700002	0.0000000	0.5098239	0.6841987	0.0415370	0.7142143	0.7998200	0.6414641
0.4608998	0.2443649	0.4562956	0.4222137	0.0000000	0.5610005	0.0302778	0.6370288	0.7356387	0.8117317
0.3658466	0.2429397	0.2883223	0.4714523	0.0112193	0.0000000	0.3396173	0.6353099	0.7158391	0.8219407
0.4355363	0.1804163	0.3915890	0.5980997	0.4389258	0.6862041	0.0000000	0.6031726	0.6979556	0.7120726
0.4414353	0.2523855	0.2974673	0.6008894	0.4364747	0.7966509	0.0334519	0.0000000	0.7226162	0.7306700
0.5423810	0.1682063	0.2638977	0.5852616	0.4449790	0.8301838	0.0361036	0.0563128	0.0000000	0.7759821
0.4917904	0.1479985	0.3580621	0.7402451	0.0150547	0.7346581	0.0254956	0.5193820	0.8196163	0.0000000
