YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000000	0.6038912	0.3505317	0.4940933	0.3634520	0.7821614	0.0328974	0.2450707	0.5907132	0.8599510
0.0599059	0.0000000	0.3840635	0.7334311	0.4576756	0.9283572	0.0080255	0.2998934	0.7228403	0.7350422
0.7803555	0.5807182	0.0000000	0.5077124	0.4383012	0.7687339	0.1464381	0.4256326	0.8215271	0.6835643
0.7177046	0.4461054	0.0905101	0.0062382	0.3646085	0.6820587	0.2242563	0.4122809	0.8598291	0.8771624
0.8195685	0.4664746	0.3629907	0.8158690	0.0000000	0.7807691	0.1415565	0.3893961	0.7647646	0.7847859
0.6188275	0.5046237	0.2746600	0.8665940	0.0699543	0.0000000	0.1565030	0.4403305	0.6420748	0.9116602
0.8016241	0.5640719	0.3290112	0.7135263	0.3322959	0.8720208	0.0000000	0.2509380	0.7502689	0.6792910
0.8172272	0.6109895	0.2491710	0.7839215	0.2500904	0.3611469	0.7778963	0.0000000	0.7711514	0.7741738
0.8125704	0.5655010	0.3111584	0.5561022	0.2876593	0.5210241	0.4881580	0.1848149	0.0000000	0.8706345
0.7989768	0.5834498	0.2383764	0.6288716	0.3938439	0.5317112	0.4765293	0.2163661	0.0399185	0.0000000
