YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000056	0.9907462	0.6399551	0.4162005	0.6620818	0.9995816	0.1937842	0.5388281	0.9996786	1.0000000
0.9999894	0.0000008	0.6399553	0.4162005	0.6620818	0.9995816	0.8186414	0.1055786	0.9996786	1.0000000
0.9847061	0.0641495	0.0000004	0.9987263	0.0371652	0.0614600	0.8118714	0.1081563	0.9996786	1.0000000
0.9579765	0.1063044	0.0217755	0.0000000	0.0371652	0.0614643	0.7998008	0.1128903	0.9996786	1.0000000
0.2126200	0.9964616	0.9834694	0.9999994	0.0000039	0.9999668	0.2351584	0.4698265	0.9996786	1.0000000
0.2126136	0.9964659	0.9834528	0.9987301	0.0370906	0.0000022	0.2351418	0.4698370	0.9996786	1.0000000
0.2142670	0.9907462	0.6399548	0.4162005	0.6620818	0.9995816	0.0000026	0.4688212	0.9996786	1.0000000
0.2142670	0.9907462	0.6399548	0.4162005	0.6620818	0.9995816	0.9999360	0.0000019	0.9996786	1.0000000
0.2142708	0.9907302	0.6393976	0.4159372	0.6624121	1.0000000	0.0835264	0.9275570	0.0000000	1.0000000
0.2142707	0.9907304	0.6394005	0.4159374	0.6624121	1.0000000	0.0835297	0.9275514	0.0195868	0.0000006
