YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.1495242	0.1582682	0.7090126	0.0000000	0.2755434	0.7580249	0.7954874	0.4525103	0.6602970
0.0000000	0.5187180	0.8550353	0.0000000	0.2466910	0.4109266	0.9061227	0.2439556	0.8051513	0.7256841
0.0000000	0.4772422	0.4959790	0.1573485	0.5056945	0.6789921	0.0000000	0.1587810	0.7168791	0.7703875
0.0000000	0.1334882	0.3175937	0.4768371	0.1754548	0.3085548	0.7039336	0.0000000	0.6958726	0.9622662
0.0000000	0.2014271	0.3307581	0.4142867	0.2531225	0.3274597	0.8482305	0.3721846	0.0000000	0.8943605
0.0000000	0.1486119	0.3078425	0.4586636	0.2959895	0.3214981	0.6556935	0.5137446	0.5411497	0.0000000
0.5648333	0.4869689	0.7724343	0.0000000	0.0000000	0.2412242	0.8740507	0.3413727	0.3760576	0.7706243
0.6331764	0.4884838	0.8095728	0.0000000	0.3837920	0.6494657	0.0000000	0.0046031	0.3668976	0.6264183
0.5722816	0.4512098	0.7650047	0.0000000	0.1949830	0.3484541	0.9132479	0.1798091	0.0000000	0.7255013
0.0831840	0.1038738	0.2242459	0.6533940	0.0000000	0.8098068	0.0000000	0.6677838	0.3718107	0.8966665
