YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.1480497	0.2527333	0.6063931	0.8294113	0.3495682	0.4211726	0.0753703	0.0954992	0.0420898	0.4529149
0.0647985	0.4535744	0.5336905	0.8006304	0.0009886	0.0068527	0.5243584	0.6202457	0.8150586	0.0339651
0.1065099	0.3656037	0.3871549	0.6409564	0.3936519	0.8225295	0.0429785	0.1678310	0.0170303	0.8447542
0.1723527	0.3176598	0.5258903	0.6682376	0.4078386	0.6459108	0.0026257	0.0230027	0.0099160	0.8145319
0.2424440	0.3699704	0.4386802	0.6785362	0.4479085	0.4363100	0.1275284	0.0944933	0.0146389	0.7269663
0.0728398	0.5032989	0.5249718	0.7374829	0.4692586	0.6651891	0.0034308	0.0430342	0.0388900	0.7718469
0.3265956	0.1745649	0.6904050	0.7932639	0.0072407	0.0372958	0.4868150	0.5341540	0.0641178	0.8220774
0.1430864	0.3500838	0.5591790	0.8081648	0.2858285	0.4062409	0.1192445	0.1448898	0.0596934	0.5328201
0.3111806	0.3184894	0.5929170	0.5740776	0.4889336	0.7445539	0.0031947	0.0379188	0.0231281	0.6317636
0.0316642	0.6594545	0.3534572	0.4928435	0.0037611	0.0290458	0.5391826	0.4130478	0.0301550	0.3957312
