YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3858975	0.6116672	0.5790552	1.0073818	1.0307519	0.9914712	0.9071175	0.9751792	1.0390612	1.0723724
0.9938561	0.3502128	0.5818313	0.9876901	0.9840850	1.0418905	1.0993938	0.9734980	1.0231549	0.9275321
1.0273454	0.2253033	0.3034494	0.9493158	0.9899362	1.0111539	1.0047494	1.0665872	0.9438138	0.9414559
0.8540319	0.3610299	0.4114899	0.5902378	0.9519868	0.9314847	1.0001781	0.8458842	0.9940201	1.0630946
0.4279572	0.7775180	0.5401948	1.0290572	0.5306305	1.0183986	1.0717188	1.0362630	1.0903509	1.0385248
0.4574982	0.6317206	0.5988655	0.9185504	1.0036741	0.4780794	1.0598253	0.9740737	0.9800220	1.0682264
0.7668597	0.5497817	0.5523536	0.9578853	1.1008064	1.1150099	0.4737179	0.9746029	0.9799936	1.0443676
0.6821077	0.6304349	0.6860241	1.0879518	1.0139778	0.9588598	1.0543980	0.5563123	0.9574410	0.9600614
0.6483227	0.6266727	0.5517307	1.0305791	0.9635901	1.0680270	0.9025616	1.1645928	0.5775142	0.9683190
0.5103152	0.6788186	0.5950762	0.9830235	0.9628622	1.0100700	0.9894965	0.9315761	0.9436635	0.5449448
