"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W

0	0.0404484	0.8853613	1.0080618	0.0196580	0.1734510	0.4494307	0.5869424	0.0649711	1.0179891	1.0010545
50	0.0398179	0.9159963	1.0848849	0.0205532	0.4586113	0.5389155	0.4516965	0.0413581	1.0237444	1.0622456
100	0.0326775	0.8342264	1.0087180	0.0273111	0.5580531	0.6279678	0.3160231	0.0188749	0.9830965	1.0210786
150	0.0280597	0.9139927	0.9234581	0.0587916	0.6679986	0.6475476	0.2150666	0.0119657	0.8921962	1.1504684
200	0.0267433	0.8538488	0.9170315	0.0832015	0.6890967	0.6365330	0.1657729	0.0080013	0.9727735	1.0431547
250	0.0253753	0.8192213	0.8306913	0.1567085	0.7162946	0.6346261	0.1521333	0.0035137	1.0228187	1.1503642
300	0.0179452	0.8047309	0.7532680	0.1618864	0.7597104	0.5873152	0.1133082	0.0011837	0.8686401	1.0455339
350	0.0457733	0.8137945	0.8298757	0.2097419	0.7620239	0.5862989	0.1221794	0.0026171	0.9498721	1.0412796
400	0.0154458	0.9086460	0.7460987	0.2417797	0.7720483	0.6196880	0.1247891	0.0034056	0.9393239	1.1051628
450	0.0322799	0.8193207	0.5692550	0.1956809	0.7560627	0.5832846	0.1097573	0.0069827	0.9272377	1.0379785
500	0.0169525	0.6862027	0.5966057	0.2564524	0.7069162	0.6541866	0.1310761	0.0064747	0.9898584	0.9194257
550	0.0227231	0.6777633	0.5335849	0.2732994	0.6103848	0.4118907	0.2843653	0.0325284	0.9744939	1.0415419
600	0.0698791	0.6168124	0.5333159	0.1460142	0.4217430	0.3197252	0.4503099	0.0392985	1.0158720	0.9563455
650	0.1427287	0.5678073	0.6533890	0.0823077	0.2985973	0.3320104	0.5079093	0.0488322	0.9086793	1.0574004
700	0.1481216	0.7109358	0.7076201	0.0400429	0.2604467	0.3135026	0.5470701	0.0420745	0.9181903	1.0156358
750	0.1347474	0.6804500	0.7642444	0.0249471	0.1974860	0.3717371	0.5707116	0.0563447	0.8814254	0.8982325
800	0.1361726	0.7004948	0.8578680	0.0290006	0.2023675	0.4385703	0.6087427	0.0645746	0.8006481	0.8816099
850	0.0851404	0.8397077	0.9847579	0.0123965	0.2316307	0.3716793	0.5941753	0.1038962	0.8181341	0.9552290
900	0.0736980	0.8427159	0.9440312	0.0177597	0.1940058	0.4247330	0.6459472	0.0915956	0.8615871	1.0007076
950	0.0579336	0.9550336	0.9298436	0.0202130	0.2062137	0.4519609	0.5762780	0.0753012	0.9448418	1.0701207
1000	0.0442118	0.9323620	0.9074334	0.0261216	0.1982695	0.4689907	0.5038024	0.0784539	0.9939497	0.9993661

0	0.0404484	0.8853613	1.0080618	0.0196580	0.1734510	0.4494307	0.5869424	0.0649711	1.0179891	1.0010545
50	0.0296537	0.8914412	0.8247087	0.0198844	0.2293315	0.6485750	0.5439022	0.0641818	0.8423323	1.0980727
100	0.0201193	0.8171044	0.6972715	0.0197016	0.2980134	0.8267222	0.5427082	0.0791117	0.9496933	0.9799297
150	0.0211398	0.7133469	0.5323750	0.0328992	0.4332869	0.8698536	0.4420171	0.0663282	0.8940115	1.0026762
200	0.0264407	0.6325642	0.4762189	0.0307597	0.4596721	0.9376677	0.3969482	0.0843691	0.9454398	1.0400867
250	0.0410256	0.4819694	0.4688242	0.0502359	0.4331247	0.8985618	0.4342168	0.0697324	1.0151182	1.0254374
300	0.0606622	0.5534321	0.5234048	0.0524706	0.4874574	0.9374330	0.4432802	0.0790742	0.9448498	1.0247119
350	0.0518130	0.5196416	0.4330979	0.0557311	0.5311790	0.8534535	0.3902619	0.0714438	1.0278526	1.1170451
400	0.0248323	0.4612888	0.4756716	0.0823615	0.5296600	0.8710749	0.4616534	0.0617594	1.0339549	1.0002046
450	0.0551896	0.4911536	0.4690943	0.0838110	0.5266737	0.9050950	0.5211944	0.0687948	0.9797024	0.9984744
500	0.0640111	0.4328413	0.4417614	0.0914052	0.4839934	0.8863134	0.4054455	0.0751239	0.9385103	0.9932624
550	0.0457096	0.5307141	0.6331869	0.0875408	0.5006843	0.6607275	0.5230094	0.0592180	0.9017932	0.9643522
600	0.0496166	0.6141832	0.7963095	0.0638946	0.4342736	0.4503999	0.5391358	0.0547869	0.9676297	0.9865302
650	0.0863978	0.7206394	0.8214596	0.0556613	0.3282473	0.4044964	0.5408172	0.0458222	1.0336843	1.0759399
700	0.0877437	0.7262248	0.9621457	0.0503091	0.2580856	0.3621973	0.5613862	0.0373990	0.9209221	0.9948496
750	0.0506995	0.8488096	0.9988050	0.0371799	0.2199972	0.3638023	0.5976743	0.0824237	0.8916300	0.9227341
800	0.0542975	0.8902850	0.9656502	0.0228421	0.2093162	0.4041891	0.5943127	0.0580200	0.9415759	1.0279500
850	0.0652290	0.9136544	1.0370523	0.0295078	0.1856895	0.4275388	0.6183891	0.0571889	0.9065901	0.9662920
900	0.0325273	0.9836769	1.0112687	0.0285642	0.2380375	0.3725118	0.5806715	0.0502463	0.9047404	0.9718210
950	0.0472985	1.0624498	1.0167645	0.0211269	0.2127590	0.3587206	0.5939875	0.0681028	0.9905133	1.0305271
1000	0.0454889	0.9337405	1.0858237	0.0104401	0.2253889	0.4049013	0.5453223	0.0537988	0.8895138	1.0562975

0	0.0404484	0.8853613	1.0080618	0.0196580	0.1734510	0.4494307	0.5869424	0.0649711	1.0179891	1.0010545
50	0.0409266	0.8608964	1.0721005	0.0851387	0.2142363	0.4668309	0.4936059	0.0371574	0.9968474	1.0367438
100	0.0287800	0.9323225	0.9993269	0.1449384	0.2318272	0.6412584	0.4653839	0.0607973	1.0102755	1.0082648
150	0.0188975	0.9700763	0.9465294	0.2120592	0.3789827	0.6699885	0.5112840	0.0729164	0.9973926	1.0071904
200	0.0076246	0.8304932	0.8587973	0.1952378	0.4485166	0.8228351	0.5900932	0.0842315	1.0083353	0.9856139
250	0.0072262	0.8529849	0.7299544	0.1939378	0.4622658	0.8818151	0.6015648	0.0884751	1.0389296	0.9232829
300	0.0077994	0.7703554	0.7500327	0.2356842	0.5159841	0.7768107	0.6567165	0.0927948	0.9806481	0.9037339
350	0.0017318	0.9415362	0.6775694	0.2421373	0.5383610	0.7937257	0.5751036	0.0690302	0.9204832	0.8652051
400	0.0041577	0.7771437	0.7369273	0.2246795	0.4883433	0.7472412	0.5541087	0.0575331	0.9431434	0.9182577
450	0.0087151	0.8149872	0.7321332	0.2866656	0.4875773	0.8322222	0.6047857	0.0563538	0.9670535	0.9431602
500	0.0110269	0.7569242	0.6305140	0.2825512	0.5228953	0.8768757	0.5798448	0.0516890	0.9289077	0.9732442
550	0.0120493	0.7058138	0.5723535	0.1999000	0.5158536	0.6383140	0.5160778	0.0654779	0.9764424	1.0202708
600	0.0370835	0.6879499	0.6761999	0.1389973	0.4469332	0.5854517	0.5576883	0.0670225	0.8851601	0.9883795
650	0.0284202	0.7506241	0.7567733	0.0787859	0.4058352	0.4842552	0.5482003	0.0634073	0.9435846	0.9253874
700	0.0384597	0.7442362	0.7737818	0.0481840	0.3224938	0.4914484	0.5918055	0.0543448	0.9354179	1.0085819
750	0.0202804	0.7445332	0.9003661	0.0262282	0.2740252	0.4297583	0.6601440	0.0554427	0.9044047	1.0037375
800	0.0369860	0.8393600	0.9302490	0.0396804	0.2635050	0.4154099	0.6587903	0.0578504	0.9725477	1.0116463
850	0.0425204	0.9453771	0.9006925	0.0201908	0.2462147	0.4226495	0.5928485	0.0929634	0.9850889	0.9848605
900	0.0367050	0.9418325	1.0147578	0.0157591	0.2192659	0.4485123	0.5393511	0.0855714	0.9880486	0.9061355
