YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.5861945	0.5246075	0.6629231	0.7354330	0.9121664	0.2994375	0.0886104	0.0952218	0.9535524	1.0321525
0.3124378	0.7150018	0.7103689	0.5930870	0.6874791	0.2153298	0.0713225	0.1373577	0.9954872	0.7972188
0.6958795	0.6056322	0.7649475	0.4893833	0.6488978	0.2293046	0.0001210	0.1480298	0.9494297	0.9407741
0.1758012	0.6405416	0.5996583	0.7706066	0.9551499	0.5202481	0.0005724	0.1263445	0.9079813	0.7777142
0.9547606	0.4402277	0.8874915	0.3759999	0.6573374	0.2613841	0.0051276	0.0937354	1.0318133	0.9794030
0.6342228	0.5655841	0.5614389	0.5285932	0.8217716	0.4674355	0.1386510	0.0783372	1.0713395	0.9440725
0.1478587	0.4640946	0.3712179	0.6782294	0.9180106	0.4878095	0.0050996	0.2382667	0.5479458	0.9921252
0.1686890	0.3493284	0.5564310	0.7414396	0.9261789	0.5734174	0.2271863	0.1093687	1.0271125	1.0410714
0.3814723	0.6323934	0.5733239	0.6895231	0.9759047	0.4576535	0.4000454	0.1262899	0.9570653	0.9459428
0.6206564	0.4720296	0.7033165	0.5605077	0.9202105	0.2336643	0.0040793	0.1284256	1.0321643	0.7814543
