YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.5046198	0.9878650	0.9968823	0.0456921	0.0606006	0.6354340	0.4088001	0.4853994	0.3708442	0.6797989
0.6964013	0.6820030	0.4031557	0.8479682	0.4242093	0.7831282	0.8603964	0.1185303	0.2177911	0.9263943
0.4098238	0.9887835	0.9595224	0.1749110	0.0596338	0.5929812	0.3710911	0.3252901	0.2130070	0.9374043
0.6126344	0.8981429	0.4456025	0.8079878	0.5447834	0.8150303	0.9997617	0.0018202	0.1882806	1.0000000
0.3979055	0.8698489	0.6073499	0.7240880	0.4314032	0.7924463	0.8682282	0.0988719	0.1882806	1.0000000
0.5957906	0.9153438	0.5562184	0.8117278	0.5448667	0.3020891	0.9998874	0.0011180	0.1675718	1.0000000
0.8433828	0.6461969	0.3831863	0.8390478	0.4836860	0.8047903	0.8531698	0.0229682	0.1707376	1.0000000
0.4075812	0.8893554	0.6617450	0.6389305	0.3115632	0.4815627	0.5579514	0.2672044	0.1972688	0.9760470
0.4501611	0.9152385	0.7836843	0.4620547	0.2042625	0.7229429	0.6227552	0.1856036	0.1843085	0.8067691
0.6615539	0.8495527	0.5659953	0.7936000	0.4241105	0.7913135	0.8602893	0.1185980	0.0879188	1.0000000
