YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0481364	0.0697214	0.3116022	0.7847936	0.5712994	0.0089369	0.0120205	0.2783115	0.3965193	0.0880465
0.4673550	0.1157837	0.5545429	0.6149592	0.7277408	0.0124656	0.0235377	0.4936171	0.4155983	0.1844802
0.1926095	0.2742145	0.8854858	0.0668609	0.0709089	0.7840602	0.7074585	0.0172742	0.0968233	0.5460957
0.1597447	0.0452542	0.6692607	0.5730784	0.5624181	0.2343579	0.0397783	0.3087811	0.5228988	0.0000245
0.5962599	0.0033674	0.4245625	0.5252508	0.5808354	0.1099370	0.0156061	0.3817191	0.5126592	0.0004174
0.2226143	0.4083294	0.3759290	0.5122600	0.4632831	0.0764404	0.0097894	0.4256198	0.4329185	0.1362853
0.0853867	0.1502478	0.6532748	0.4104846	0.6065887	0.0863493	0.0770577	0.3042683	0.3135420	0.1437830
0.4167009	0.4171186	0.6456918	0.0201209	0.0511763	0.4323621	0.2836924	0.1487703	0.2592776	0.2444319
0.2230655	0.0108395	0.4285771	0.5644717	0.9593730	0.0335948	0.0007430	0.4708623	0.6990336	0.0001193
0.4833846	0.3468209	0.6898548	0.5422853	0.5917377	0.2630099	0.0190672	0.3299100	0.5175653	0.0000213
