YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000013	0.7429287	0.9999986	0.0000065	0.6548996	0.9996509	0.0398507	0.8452249	1.0000000	1.0000000
0.0000013	0.0187346	0.0245270	0.9999936	0.0000000	0.9996485	0.0398507	0.8452249	1.0000000	1.0000000
0.0000013	0.0187337	0.0245247	0.9999962	0.0256371	0.9996485	0.0398507	0.8452249	1.0000000	0.0000001
0.6101451	0.0000059	0.4875908	0.7244823	0.6550238	1.0000000	0.0000003	0.8452249	1.0000000	1.0000000
0.6308509	0.2327006	0.4648666	0.9999751	0.0000000	0.9996485	0.0398507	0.8452249	1.0000000	0.0000010
0.6008771	0.2692930	0.4981116	0.6926732	0.0256371	0.0000000	0.0373528	0.0000036	1.0000000	1.0000000
0.6309203	0.2326167	0.4648065	0.9999898	0.0256371	0.0000029	0.5034506	0.8452249	1.0000000	0.0000003
