YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000000	0.5290875	0.6351758	0.8763737	0.9992757	0.0446288	0.9275096	0.2683331	0.9861343	0.9362290
0.3486349	0.0000000	0.2082486	0.7015050	0.4169408	0.2957958	1.0320261	0.3087281	0.9714864	1.0273077
0.0307208	0.0030066	0.0000000	0.8124051	0.3685802	0.3189411	1.0600690	0.2984519	1.0103093	0.9602718
1.0107336	0.5198958	0.4886089	0.0000000	0.9348969	0.0622062	1.0480597	0.3147178	0.9935141	1.0831739
0.7401230	0.3756323	0.3226782	0.5837930	0.0000000	0.1032204	0.9774563	0.2926761	0.9768026	0.9931884
0.2677305	0.3195889	0.1857030	0.8977745	1.0007169	0.0000000	1.0603044	0.2600261	1.0818048	0.9545802
0.3533729	0.3090193	0.2812172	0.7225984	0.0979817	0.4916348	0.0000000	0.2722104	0.9936659	0.9821276
0.2693819	0.3011092	0.1819876	0.9445315	0.9726150	0.0627410	1.0772720	0.0000000	1.0457216	1.0832979
0.3813458	0.3028809	0.2310395	0.6631403	0.1101064	0.4956017	0.2686551	0.9847393	0.0000000	1.0603022
0.1032993	0.2441802	0.2363251	0.9492165	1.0030337	0.0757242	0.9548925	0.2398917	0.9549589	0.0000000
