YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000000	0.7102549	0.7153198	0.0369442	0.1585500	0.7346475	0.3395212	0.6616947	0.7343457	0.7499403
0.7415449	0.0000000	0.8005975	0.0645423	0.3857386	0.6369633	0.4384014	0.6207809	0.8826515	0.7474384
0.8459378	0.0408931	0.0000000	0.0338206	0.3933843	0.4860618	0.4284082	0.7195753	0.6835231	0.7238362
0.0653654	0.7023035	0.7347811	0.0009823	0.2035932	0.7461042	0.4568382	0.6660783	0.6577799	0.7457569
0.0564851	0.8114424	0.6658052	0.0179899	0.0000000	0.6957536	0.4273590	0.7117261	0.8281727	0.6484532
0.0578028	0.6619771	0.8708072	0.0507319	0.4596107	0.0000000	0.3710601	0.6591906	0.8359427	0.7035156
0.0757504	0.7839432	0.8053385	0.0276792	0.2598400	0.7364560	0.0000000	0.8282094	0.6013703	0.8165170
0.0671613	0.6700063	0.5901663	0.0115641	0.2558755	0.5244762	0.6429194	0.0000000	0.7450093	0.6919228
0.0587061	0.8676144	0.8248221	0.3813141	0.2562629	0.5863321	0.4019083	0.7926844	0.0000000	0.5415396
0.0753768	0.8729615	0.8513220	0.0278476	0.1554183	0.5646905	0.3940068	0.6449158	0.7010788	0.0000000
