YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.4993715	0.1666800	0.2535028	0.3842725	0.7668577	0.5225404	0.0638820	0.4863396	0.0745401	1.0000000
0.9858624	0.0647196	0.5130736	0.2532387	0.9656848	0.8671144	0.1687745	0.5607848	0.0745401	1.0000000
0.9858624	0.1293907	0.2566145	0.2532387	0.9656848	0.8671144	0.1687745	0.5607848	0.0745401	1.0000000
0.9858635	0.1293907	0.5130728	0.1266549	0.9656849	0.8671074	0.1687709	0.5607862	0.0745401	1.0000000
0.8859757	0.1234497	0.5885720	0.6993070	0.4893273	0.9723405	0.4066398	0.3408437	0.0745401	1.0000000
0.9418382	0.1759755	0.2254801	0.4562333	0.6902146	0.4761194	0.3029467	0.4515204	0.0745401	1.0000000
0.9966978	0.1441858	0.3713576	0.2812055	0.9120520	0.6856318	0.0941402	0.5429888	0.0745401	1.0000000
0.8723256	0.1233095	0.5904531	0.2469295	0.9789103	0.9749461	0.4272117	0.2825016	0.0745401	1.0000000
0.9936529	0.1356633	0.4451619	0.2627876	0.9469451	0.7798977	0.1221852	0.6178800	0.0372701	1.0000000
0.8644601	0.1232464	0.5913040	0.2468646	0.9790249	0.9761972	0.4398306	0.1465741	0.3856483	0.5000000
