YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000000	0.6615934	0.6655643	0.0658321	0.6958484	0.0311651	0.6820556	0.0219260	0.0030109	0.7345659
0.0737605	0.0000000	0.2980285	0.2915300	0.4925923	0.1455784	0.0745145	0.8285053	0.8732503	0.7157277
0.1417206	0.1164520	0.0000000	0.3725028	0.3910654	0.1103540	0.0907326	0.8107927	0.4320166	0.6367868
0.5008777	0.6345656	0.6713296	0.0000000	0.7892943	0.0130925	0.8771831	0.0011445	0.0170222	0.6865897
0.3478721	0.7720098	0.7579581	0.1104053	0.0000000	0.0182659	0.7012230	0.0034627	0.0099244	0.7976970
0.4250024	0.5724152	0.7965326	0.1260269	0.6920696	0.0000000	0.8523142	0.0051454	0.0043444	0.6732331
0.2578554	0.1701889	0.3750874	0.2597525	0.0452057	0.6542097	0.0000000	0.0481440	0.0557012	0.8977287
0.5341171	0.5677610	0.6559975	0.1291839	0.5870139	0.0196459	0.8638830	0.0000000	0.0165709	0.7357696
0.5800302	0.5864174	0.7831015	0.0679715	0.7316936	0.0126440	0.8287131	0.0035633	0.0000000	0.8298439
0.1627020	0.2180559	0.2935480	0.3054689	0.6625251	0.0838731	0.1274469	0.7339498	0.7066806	0.0000000
