YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.2579755	0.2830129	0.3600330	0.3117055	0.2066426	0.1378909	0.6044806	0.8200114	0.4715605	0.6341902
0.5989927	0.3970297	0.0440677	0.1238744	0.1276782	0.4817882	0.4956149	0.6938403	0.6923971	0.8052381
0.3334645	0.4410286	0.0338961	0.1670219	0.1863638	0.1553581	0.5068931	0.7542941	0.6384638	0.6597709
0.2457664	0.4993861	0.0585058	0.0558216	0.1625892	0.1667116	0.4908718	0.7460308	0.7823956	0.8438643
0.3049011	0.4918114	0.0536615	0.0614796	0.0446955	0.2977280	0.4392729	0.5736266	0.5330746	0.6959551
0.3771525	0.4865683	0.0456188	0.2320315	0.1994532	0.2082591	0.7002811	0.7501264	0.7781583	0.7257705
0.2744615	0.4654321	0.0455548	0.2407342	0.2391564	0.1637608	0.2052095	0.6581202	0.6443096	0.8715807
0.3121373	0.5210506	0.1460413	0.2873031	0.1618421	0.0510458	0.3454891	0.4069955	0.5591985	0.7013803
0.4403662	0.5460346	0.7293346	0.7561317	0.4696628	0.1876565	0.4908651	0.5741676	0.3548334	0.7917537
0.3306676	0.4508627	0.0808007	0.1626381	0.2051212	0.1807484	0.4617810	0.6502241	0.6366828	0.4374522
