YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.5220331	0.3207177	0.9992280	0.5770217	0.4669294	0.5415176	0.9475696	0.8034230	0.0432797	0.6475812
0.2341451	0.1651910	0.9812306	0.9678315	0.2487807	0.8652861	0.9512609	0.6585918	0.2061116	0.4187642
0.4360575	0.2677694	0.9997080	0.7932916	0.0930730	1.0000000	0.8164323	0.9309838	0.9990218	0.1129102
0.5357941	0.2887792	0.9998879	0.9993621	0.1042997	1.0000000	0.9690349	0.9765666	0.9999825	0.0576032
0.7119551	0.3208729	0.9990377	0.4324815	0.5513189	0.5175061	0.8053512	0.9999959	0.0137505	0.7725736
0.6914993	0.3358973	0.9812393	0.9852077	0.2091418	0.7526705	0.8181984	0.9999996	0.8921428	0.2515850
0.4404328	0.2370129	0.9998262	0.8921949	0.2806235	0.8095536	0.9780327	0.9186312	0.1742283	0.4684255
0.3909207	0.2430387	0.9998465	0.9904401	0.1898421	1.0000000	0.9152277	0.9128922	0.8199554	0.0616516
0.4590156	0.2160874	0.9998545	0.9860122	0.2065319	0.9563404	0.8777021	0.9999972	0.0510962	0.5633113
0.5729429	0.3358878	0.9812419	0.9904401	0.1898421	1.0000000	0.8308881	0.9885285	0.9999749	0.0616516
