YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.7991972	0.3101979	0.8919035	0.7977710	0.9999999	0.0446113	0.9302787	0.9645446	1.0000000	0.0897586
0.4286254	0.3017457	0.8374643	0.6979688	0.9999440	0.1656911	0.9319028	0.9921171	0.8190650	0.0540026
0.6099743	0.3976174	0.8078551	0.6979767	0.9999702	0.1471613	0.9799023	0.9935565	0.8218315	0.0534777
0.8696621	0.2356484	0.8450406	0.7446037	0.9999818	0.1345992	0.9792566	0.9870852	0.6838479	0.0554187
0.5756550	0.3192617	0.8915932	0.8034890	0.9999958	0.1030704	0.9321441	0.9968215	1.0000000	0.0897590
0.6121958	0.3743161	0.8309066	0.7494697	0.9999436	0.1656318	0.9321510	0.9969476	1.0000000	0.0825708
0.1728136	0.4859682	0.7301469	0.5722602	0.7020035	0.1746448	0.9322330	0.9984919	1.0000000	0.0505447
0.4970024	0.3492872	0.8545269	0.8137231	0.9999433	0.1656490	0.9321397	0.9967751	1.0000000	0.0897639
0.8765896	0.2304902	0.8198379	0.7235410	0.8540257	0.1510168	0.9787056	0.9974801	0.9663515	0.1066698
0.7264156	0.1632178	0.8484089	0.7578058	0.9999427	0.1663933	0.9301690	0.9624962	0.8996569	0.0473912
