YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0329688	0.3580238	0.9927581	0.5789315	0.7184048	0.7752335	0.3457265	0.8816445	0.0899104	1.0000000
0.0232794	0.1815041	0.9794823	0.5918300	0.7455398	0.7469266	0.3953054	0.7042774	0.1308640	1.0000000
0.4584681	0.6314353	0.4974820	0.5744040	0.7088471	0.7852158	0.3287374	0.9567928	0.0788150	1.0000000
0.0657308	0.3576978	0.9937609	0.2895656	0.7184084	0.7752261	0.3457473	0.8815165	0.0899244	1.0000000
0.0657323	0.3577180	0.9936438	0.3077972	0.3592060	0.7752234	0.3457511	0.8815100	0.0899272	1.0000000
0.0659337	0.3580879	0.9925648	0.7701619	0.9712047	0.3876287	0.3457217	0.8816712	0.0899072	1.0000000
0.0658829	0.3579912	0.9928587	0.5184692	0.6088378	0.8857282	0.1728645	0.8816323	0.0899115	1.0000000
0.1049574	0.4116390	0.8634500	0.6155283	0.7957601	0.6918008	0.5010669	0.4524630	0.2702788	1.0000000
0.0645950	0.3557650	0.9989354	0.5789612	0.7184841	0.7751210	0.3459620	0.8805234	0.0450368	1.0000000
0.0764251	0.3744756	0.9505065	0.4531923	0.7174333	0.7763135	0.3438136	0.8898104	0.1839050	0.5000001
