YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.0000000	0.4440007	0.6508839	0.1029168	0.2012257	0.4368314	0.9264168	0.2748294	0.1343054	0.9905789
1.0000000	0.0000002	0.6508760	0.1029189	0.2012270	0.4368328	0.9264180	0.2748260	0.9681841	0.1946722
0.1818618	0.9999984	0.0000000	0.1029189	0.2012270	0.4368328	0.9264180	0.2748260	0.9994014	0.0557709
0.8535623	0.2676966	1.0000000	0.0000000	0.2012248	0.4368311	0.9264147	0.2748329	0.9434531	0.2334674
0.8488060	0.2712357	0.9895166	0.0227787	0.0000000	0.9100798	0.2323263	0.9999997	0.9424048	0.2349170
0.8418123	0.2763625	0.9747456	0.0321003	0.1190707	0.0000000	0.4778206	0.6720597	0.9408651	0.2370739
0.1821012	0.9989261	0.0213426	0.8797642	0.5645937	1.0000000	0.0000000	0.0845345	0.9960829	0.1014031
0.7054842	0.3664958	0.7725288	0.0816587	0.1861034	0.4032115	1.0000000	0.0000000	0.8938040	0.2881902
0.5856194	0.4440007	0.6508839	0.1029168	0.2012257	0.4368314	0.9264168	0.2748294	0.0000008	0.3512807
0.5857105	0.4439606	0.6508821	0.1029218	0.2012299	0.4368385	0.9264148	0.2748229	0.9999935	0.0000005
