"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.4999828	0.7154356	0.3316311	0.1012982	0.1329335	0.2325172	0.2683542	0.2987544	0.5979590	0.9196001
50	0.4509219	0.6183252	0.1889343	0.2586895	0.1244487	0.2467729	0.2856738	0.4047500	0.8072456	0.8347897
100	0.4943765	0.6435588	0.2081405	0.1811167	0.1232638	0.2521009	0.2703085	0.3549706	0.7196267	0.9861785
150	0.4345739	0.5419791	0.2025790	0.1763470	0.1311367	0.2143735	0.2914652	0.4350358	0.5650539	0.8055356
200	0.3843840	0.6227436	0.2275713	0.1470733	0.1066866	0.3341236	0.2068057	0.4371973	0.6337338	0.6436023
250	0.3170752	0.7407424	0.2078228	0.1112813	0.1362643	0.3158534	0.2639190	0.4984856	0.5960801	0.7657404
300	0.3851292	0.6670772	0.2588989	0.1012114	0.1489054	0.2437177	0.2342057	0.4480133	0.7221869	0.7469898
350	0.4168355	0.6027567	0.2102183	0.1619119	0.1215950	0.2902129	0.2542647	0.4275321	0.7703698	0.6177773
400	0.3860981	0.6077693	0.2147812	0.1711362	0.1064827	0.1774048	0.1543593	0.4872040	0.7067800	0.8668717
450	0.3986314	0.6372073	0.2526914	0.0927373	0.0794756	0.2281394	0.1927761	0.4028402	0.6321600	0.7682284
500	0.3848824	0.4724386	0.3242996	0.0715273	0.1100199	0.1850305	0.2585363	0.4165818	0.5825270	0.6803831
550	0.4987896	0.5724541	0.2375066	0.1012273	0.0869013	0.1841182	0.2969784	0.4024393	0.7120200	0.7792896
600	0.7458984	0.5459653	0.1609400	0.1072431	0.0607393	0.1923071	0.2149519	0.3722287	0.7199156	0.6871476
650	0.5073503	0.4851151	0.1427283	0.1780601	0.1312455	0.2027855	0.2781927	0.3684231	0.7469008	0.7240649
700	0.5092576	0.6026465	0.1611966	0.1396423	0.1489864	0.1850221	0.3076079	0.3436781	0.6779144	0.6979444
750	0.4914701	0.8577248	0.1374536	0.0978461	0.0952780	0.2158857	0.3212660	0.3478185	0.6325980	0.6833926
800	0.5356904	0.6692898	0.2041756	0.1197852	0.1323961	0.2502701	0.3621398	0.3825156	0.7819901	0.5834137
850	0.5622451	0.6105048	0.1801085	0.1438531	0.0767770	0.3402780	0.2595303	0.4134067	0.6899522	0.6788080
900	0.5424822	0.6432922	0.1889306	0.0831028	0.1253163	0.3259966	0.2990458	0.3658283	0.6619097	0.6028050
950	0.5272630	0.6124523	0.2858073	0.1378560	0.1771902	0.2704784	0.2797132	0.3636054	0.6500655	0.7287453
