YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.1483354	0.4245985	0.3504078	0.5061491	0.0007111	0.0005396	0.0736472	0.5960427	0.6691945	0.6310469
0.0431301	0.3335074	0.3901504	0.6911858	0.0001801	0.0110255	0.0161281	0.6754229	0.8206084	0.5369992
0.3640357	0.4095827	0.4412961	0.9039238	0.0003700	0.0156723	0.0055950	0.7085164	0.7862745	0.7658756
0.0025010	0.1659256	0.5483738	0.6801515	0.0007834	0.0023502	0.0177224	0.7116278	0.9930936	0.5380285
0.3169630	0.3356197	0.4898311	0.3722105	0.0024743	0.1689881	0.0179916	0.6729804	0.6095576	0.7130630
0.0599416	0.3186679	0.7908691	0.5481568	0.0440776	0.0002330	0.0132242	0.8541187	0.8177505	0.7158242
0.1030619	0.3409642	0.3140686	0.2091105	0.1254238	0.0642453	0.0326931	0.7273484	0.8397670	0.7417795
0.1123507	0.3435880	0.4501987	0.4739351	0.5752777	0.4320631	0.0022120	0.9430975	0.6595691	0.5920263
0.2601122	0.3536200	0.5889107	0.6997454	0.0049771	0.0003731	0.0145200	0.6654516	0.8017606	0.7066426
0.3104729	0.3536474	0.4679452	0.6851135	0.0000723	0.0001829	0.0292435	0.5425714	0.8616092	0.7058600
