YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.4758128	0.7418991	0.4880665	0.6516221	0.4788053	0.6161708	0.8556889	0.0418585	0.4921626	0.6394390
0.8577591	0.3033008	0.3185393	0.9008088	0.4172795	0.7680780	0.8170530	0.0038363	0.2631883	0.5219649
0.9229122	0.5391032	0.1464693	0.7726675	0.4696152	0.6779526	0.8548225	0.0202096	0.3747076	0.5835871
0.9894850	0.3217222	0.7973030	0.3511630	0.5391590	0.5565162	1.0729940	0.0047347	0.2851775	0.6322162
0.8780817	0.4291381	0.3946701	0.6322635	0.2137967	0.5746855	0.8907372	0.0302561	0.3528302	0.5880177
0.9645142	0.5646944	0.1349179	1.0145001	0.8741148	0.3915493	0.5818815	0.0282336	0.3521489	0.7626659
0.9256193	0.4852793	0.3270792	0.6892405	0.2582103	0.8530600	0.3663252	0.0136781	0.3628020	0.4391039
0.8907434	0.3888498	0.3308486	0.7514053	0.3836222	0.6545308	0.8648585	0.0255330	0.3952666	0.5229418
1.0534183	0.4599048	0.3020781	0.8589125	0.4174986	0.6249469	0.6856134	0.0109511	0.1537753	0.5695848
1.0956158	0.3737415	0.4589786	0.6764158	0.4088564	0.6709847	0.7942821	0.0247621	0.4194883	0.2901587
