YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000000	0.2212593	0.0651791	0.0600931	0.9317164	0.6410150	0.3783755	0.5480216	0.9537547	0.9539950
0.2966823	0.0000000	0.0346353	0.0602820	1.0370030	0.6030143	0.4729531	0.6117828	0.9917651	0.9501048
0.2952345	0.2550432	0.0000000	0.0639921	0.9943288	0.5375992	0.4985083	0.5214490	0.9929859	1.0419658
0.3161153	0.2423770	0.0189997	0.0000000	1.0158241	0.6149045	0.5867224	0.5568932	1.0118812	1.0952799
0.3890880	0.3180330	0.6480696	0.9501908	0.0000000	0.2836971	0.3192299	0.6245850	1.0457967	0.9658357
0.4066084	0.3004744	0.7763523	0.9883092	0.0245483	0.0000000	0.3297214	0.6275421	1.0151169	0.9479598
0.4905859	0.3332455	0.6482996	0.9919463	0.0304222	0.0404789	0.0000000	0.5928838	0.9991839	1.0000413
0.6005225	0.6009634	0.6911107	0.9414396	0.0317415	0.0660478	0.0837212	0.0000000	0.9914584	0.9835105
0.6399874	0.5619483	0.6876703	1.0323334	0.0514054	0.0666016	0.0641019	0.0047158	0.0000000	1.0699468
0.5127363	0.6030204	0.6972226	0.9763350	0.0318616	0.0662601	0.0971253	0.0182046	0.0406056	0.0000000
