YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.6080750	0.7077337	0.4370730	0.9888041	0.1882284	0.6498936	0.9622624	0.7446729	0.5318805	1.0000000
0.3266791	0.5739928	0.4779570	0.5110184	0.2400293	0.3610404	0.7660318	0.7338323	0.4477630	0.7755320
0.3121314	0.5886770	0.4350357	0.9930622	0.1602125	0.4978115	0.9840412	0.7460760	0.4650025	0.8170583
0.5374139	0.6630824	0.5694427	0.7355407	0.6021075	0.8071452	0.9649334	0.7384130	0.5545386	1.0000000
0.6498271	0.7987868	0.4169515	0.7838780	0.5505559	0.4894419	0.9693700	0.8101159	0.6927278	0.9344883
0.5615126	0.8983165	0.3599158	0.9922141	0.1664279	0.5861028	0.9672475	0.7646105	0.5318800	1.0000000
0.3653532	0.6475272	0.4390607	0.9841325	0.2120172	0.4216636	0.8575516	0.7770173	0.3867288	0.6425905
0.6221671	0.8848182	0.3807601	0.6624771	0.2154941	0.4398968	0.8863467	0.5221631	0.5318798	1.0000000
0.4031640	0.5440503	0.6862367	0.5586291	0.1909656	0.4438335	0.8643606	0.6141153	0.5318797	1.0000000
0.3595162	0.6402916	0.6564503	0.6011175	0.4387948	0.4938254	0.9772590	0.7210395	0.5177071	0.8803414
