YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.2224841	0.9933806	0.1192710	0.2576520	0.3405408	0.8791919	0.3436269	0.5096256	0.9133246	1.0000000
0.0585255	0.9999919	0.0001843	0.0702038	0.2619393	0.9534142	0.3049132	0.2504431	0.8329164	0.8213489
0.3259451	0.9999697	0.0004425	0.0915182	0.2776333	0.9464883	0.0000477	0.0000001	0.8836364	1.0000000
0.3625885	0.6339502	0.0065585	0.2064495	0.3550397	0.7427557	0.0021300	0.1253949	0.7236269	0.6197215
0.3349307	0.9880762	0.0228077	0.3023965	0.3754537	0.8133634	0.4738724	0.8447555	0.8531473	1.0000000
0.0046818	1.0000000	0.1925399	0.0116114	0.1683175	0.9737599	0.2404598	0.0963006	0.8531473	1.0000000
0.0525886	0.9999855	0.5386100	0.0788575	0.0091460	0.9587033	0.2192129	0.2629997	0.8974491	1.0000000
0.1856809	0.9978114	0.3951743	0.2148945	0.2701752	0.8837037	0.4542218	0.3194855	0.6049421	0.4323601
0.6077569	0.9323210	0.0276152	0.3207205	0.3842887	0.8210097	0.0180903	0.1055752	0.7425639	0.6559783
0.0097471	0.7928592	0.0729606	0.4363709	0.1910435	0.9985387	0.0762309	0.0002397	0.8809705	0.9155964
