YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1893953	0.7563337	0.0397497	0.8825457	0.0952018	0.3185571	0.9514420	0.8231938	0.8014108	0.1779876
0.1409760	0.2935980	0.0386930	0.9504459	0.0906582	0.2834990	0.9868496	1.0311053	0.7758096	0.1305646
0.3992413	0.7040253	0.0211681	0.9229061	0.0905083	0.2859393	1.0055007	0.8736388	0.8475369	0.2734210
0.4433928	0.6821705	0.0524197	0.4597836	0.1426470	0.3654152	0.9829788	0.8410191	0.7908088	0.2126148
0.4504815	0.7352679	0.0416813	0.9263622	0.0496398	0.2689172	0.9850962	0.6887762	0.6531782	0.3276900
0.4141440	0.6922967	0.0456714	0.8988717	0.0686202	0.1494333	0.9808760	0.9081604	0.8306159	0.2222195
0.3177404	0.6297209	0.1220218	0.5668139	0.3988444	0.6828994	0.4978229	0.9397941	0.8244064	0.1746379
0.3834586	0.7588497	0.0465999	0.8633727	0.0790722	0.3337116	1.0080643	0.4876462	0.7679633	0.2518123
0.5562409	0.9760201	0.0478263	0.8580496	0.1274675	0.4136565	0.7206406	0.0957706	0.2130617	0.9626118
0.4168216	0.6128074	0.0488464	0.9655080	0.1055173	0.3052520	1.0539229	1.0008473	0.9958875	0.0750339
