YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000000	0.6932239	0.8044972	0.0118597	0.1193138	0.2502381	0.4463928	0.0738766	0.8353544	0.6339231
0.8456472	0.0000000	0.6950756	0.0161841	0.1114396	0.2753797	0.4479933	0.0590907	0.7642861	0.8017791
0.6951751	0.0150562	0.0000000	0.0124205	0.1164520	0.2768670	0.8066506	0.0440472	0.6139893	0.8259232
0.0341664	0.7064242	0.8062041	0.0000000	0.2417747	0.3433163	0.4523852	0.0665640	0.6227162	0.7851592
0.0609238	0.6764796	0.8342277	0.0206574	0.0000000	0.3568459	0.5473384	0.0566499	0.7330413	0.8296722
0.7350932	0.7674143	0.7858986	0.0226286	0.0548529	0.0000000	0.3858056	0.0375061	0.7116266	0.7232435
0.0331610	0.7359318	0.5968712	0.0035141	0.3139798	0.3122885	0.0000000	0.0569328	0.8136739	0.6204718
0.5367074	0.7283259	0.7826520	0.0251350	0.0103164	0.0285386	0.4252007	0.0000000	0.7757379	0.7274305
0.0241053	0.7647141	0.6975347	0.0778330	0.4338299	0.6243917	0.0562976	0.7984337	0.0000000	0.9724157
0.0098438	0.6171880	0.8151493	0.0994761	0.3101558	0.6680124	0.0351449	0.7857126	0.0487611	0.0000000
