"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1753289	0.4128253	0.0483449	1.0747103	0.1058300	0.7920433	0.4476856	0.1761034	0.0363248	0.0178952
50	0.3629663	0.4260820	0.0173087	1.0164026	0.1002232	0.8421655	0.4534011	0.1778668	0.0302023	0.0426414
100	0.4916005	0.3604747	0.0055745	0.9846127	0.0367929	0.7850611	0.5170517	0.5321098	0.0457096	0.0367512
150	0.4745827	0.3833811	0.0129607	0.9408723	0.0662107	0.8101942	0.6723100	0.6495157	0.0356638	0.0430909
200	0.5323804	0.3335313	0.0185252	0.9483021	0.0695819	0.7531433	0.6692103	0.5153981	0.0207061	0.0498484
250	0.6454794	0.3979256	0.0091017	0.9759124	0.0893576	0.6778019	0.7272902	0.4374411	0.0105919	0.0465987
300	0.5713396	0.3826666	0.0043178	0.9837798	0.0635173	0.6923668	0.7256418	0.4384174	0.0218241	0.0496318
350	0.6738631	0.4229714	0.0046468	1.0196991	0.0747021	0.6622218	0.7260877	0.4906898	0.0257786	0.0644811
400	0.5961862	0.4255368	0.0022322	1.0709632	0.1020383	0.6786391	0.7549064	0.5648629	0.0362402	0.0417248
450	0.5592187	0.4064763	0.0142317	1.0371461	0.1056120	0.6374272	0.8263700	0.5660642	0.0190610	0.0460490
500	0.4871252	0.4612109	0.0173692	1.0249859	0.1596934	0.5576287	0.7921228	0.4985397	0.0169265	0.0482951
550	0.4397269	0.4568974	0.0257588	1.0082980	0.1208101	0.5637051	0.7651925	0.2848816	0.0225968	0.0256677
600	0.3131790	0.4370392	0.0350168	0.9768614	0.1373571	0.6028715	0.6551346	0.3735245	0.0363620	0.0358959
650	0.1992065	0.4637539	0.0389218	1.0521353	0.1335474	0.5992075	0.7257230	0.3378752	0.0254729	0.0404865
700	0.1924542	0.3900785	0.0498744	0.9881849	0.1067411	0.6868997	0.7232366	0.3102540	0.0214409	0.0316210
750	0.1137700	0.4144835	0.0502866	0.9799051	0.1114141	0.6557306	0.7001571	0.2931452	0.0285432	0.0505371
800	0.1391972	0.4823958	0.0478109	0.8920362	0.0519675	0.7162748	0.6351573	0.3075349	0.0272672	0.0567932
850	0.2064807	0.5000482	0.0375291	0.8978128	0.0616932	0.6473595	0.6333769	0.2724733	0.0268966	0.0532428
900	0.2164432	0.5383229	0.0453719	0.9723526	0.0922798	0.7114468	0.6703980	0.2932600	0.0439387	0.0420001
950	0.2916106	0.4525205	0.0336636	1.0510921	0.0723447	0.7139729	0.5889661	0.4264268	0.0242996	0.0479643
1000	0.1949195	0.3754052	0.0316682	0.9347505	0.0649696	0.7630171	0.6016509	0.3326840	0.0364779	0.0408050

0	0.1753289	0.4128253	0.0483449	1.0747103	0.1058300	0.7920433	0.4476856	0.1761034	0.0363248	0.0178952
