YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.7354743	0.5917429	0.5760138	0.8781223	0.4097173	0.4386202	0.7249789	0.4741719	0.4619056	0.9392265
0.5230726	0.6900130	0.4254105	1.0000000	0.2108942	0.8550457	0.0540799	0.1389296	0.9997752	1.0000000
0.8528391	0.5586823	0.7863109	0.5952634	0.2853702	0.4333601	0.8162566	0.8523382	0.3964670	0.6891685
0.3388746	0.8306417	0.5161375	1.0000000	0.5877759	0.1199455	0.7513382	0.5935757	0.6072275	0.6969105
0.4826701	0.9162161	0.5161375	1.0000000	0.4877293	0.2880676	0.5028637	0.4420250	0.7125922	1.0000000
0.9080235	0.4634343	0.6184744	0.8372651	0.2392843	0.8607691	0.3931202	0.3678196	0.8476231	1.0000000
0.7170836	0.6469005	0.6221514	0.8317844	0.4767259	0.7216725	0.0007424	0.0247813	0.8084050	0.8899208
0.7079327	0.7467578	0.6925769	0.6842462	0.3572633	0.5686734	0.4417362	0.3996035	0.5917004	1.0000000
0.2933731	0.8973501	0.5429972	0.9442396	0.3565122	0.6038786	0.0509905	0.1355443	0.8592445	1.0000000
0.9253050	0.4339677	0.4109602	1.0000000	0.4445160	0.7177404	0.0277550	0.1054212	0.8000712	1.0000000
