YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.8594109	0.4747070	0.1955437	0.8548135	1.0000000	0.6641891	0.9016609	0.6789824	0.5393208	1.0000000
0.8520489	0.6950971	0.3900678	0.6033241	0.8325056	0.5911823	1.0000000	1.0000000	1.0000000	1.0000000
0.7942564	0.5020888	0.2646531	0.9753240	0.7401027	0.6404010	0.8896417	1.0000000	1.0000000	0.8365644
0.8021569	0.5284755	0.1215815	1.0000000	1.0000000	0.5718975	1.0000000	0.3793956	1.0000000	1.0000000
0.8005629	0.5254422	0.2922128	0.6312818	1.0000000	0.6025621	0.7436873	0.9495208	1.0000000	0.7199407
0.8429943	0.5087636	0.2592327	1.0000000	1.0000000	0.8607626	0.9420938	0.8239135	1.0000000	0.7032603
0.8020726	0.5306842	0.2987730	0.8433044	0.9801577	0.5397073	1.0000000	0.9967967	1.0000000	0.6061417
0.9123715	0.5636086	0.3102506	0.8054898	0.8131040	0.5340643	0.9783630	1.0000000	0.7982276	0.6931465
0.9660985	0.6947737	0.2592327	1.0000000	0.9418825	0.5397074	1.0000000	0.9447219	0.7819373	1.0000000
0.8258188	0.6322645	0.2592327	1.0000000	1.0000000	0.5029317	0.8668454	1.0000000	1.0000000	1.0000000
