"Time"	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C

0	0.1010500	0.4978621	0.6278958	0.5719740	0.7589458	0.6680028	0.1157833	0.7093622	0.8780068	0.7002416
50	0.0047587	0.4809204	0.6597454	0.7396084	0.7824139	0.6411240	0.0541815	0.4014019	0.6993745	0.8105395
100	0.0000506	0.6186073	0.8598532	0.7799614	0.6742045	0.6857316	0.0861384	0.3674707	0.7180325	0.7372830
150	0.0004255	0.5967461	0.6053844	0.7559841	0.7364160	0.7494832	0.1590993	0.2824478	0.7731977	0.7468841
200	0.0000579	0.5726923	0.6999137	0.7344152	0.6269123	0.6470727	0.2452707	0.2954548	0.6692386	0.8170987
250	0.0000647	0.4503004	0.6993191	0.7571718	0.6247103	0.6416661	0.1966002	0.2493700	0.6746447	0.6672338
300	0.0004031	0.5466865	0.6992408	0.7202840	0.7298326	0.6233059	0.1915975	0.2822152	0.6813130	0.6446278
350	0.0000000	0.6139210	0.7807018	0.6141476	0.5807529	0.7578530	0.2205432	0.2913658	0.7678030	0.7135160
400	0.0000291	0.4876250	0.7941045	0.7408956	0.5897252	0.6406066	0.2366701	0.3120172	0.8983379	0.8255346
450	0.0000000	0.5290837	0.8261641	0.7175919	0.5471677	0.4935618	0.3198957	0.2670276	0.8159308	0.6703231
500	0.0000087	0.4513475	0.7144890	0.8125265	0.6806068	0.6165710	0.1986389	0.2927342	0.8213062	0.6621053
550	0.0691568	0.4203063	0.8706975	0.7624202	0.7784029	0.6608655	0.1332171	0.5810527	0.7396396	0.6365669
600	0.0533906	0.5276956	0.7409605	0.6706747	0.7960311	0.7316770	0.0778784	0.6056093	0.7985189	0.6948608
650	0.0928490	0.4879791	0.7540082	0.6888195	0.6736153	0.6231601	0.0513210	0.6735468	0.6523288	0.6305018
700	0.0881870	0.5262760	0.5929921	0.7717516	0.7542112	0.7168432	0.0665130	0.6897256	0.7501425	0.7671924
750	0.0718277	0.5873580	0.6576223	0.6492036	0.6930788	0.6667971	0.0432948	0.8439478	0.6263481	0.7849926
800	0.0413662	0.5538520	0.8963911	0.7122451	0.6974321	0.7510954	0.0237692	0.6825216	0.7782387	0.6361308
850	0.0542323	0.4365312	0.7745545	0.7047283	0.6666212	0.7229084	0.0331760	0.6632612	0.7722345	0.6580285
900	0.1200286	0.5164189	0.6117289	0.6945986	0.7253639	0.7211356	0.0265804	0.7277973	0.6705517	0.7866644
950	0.0710618	0.4250458	0.6379501	0.5742837	0.7517379	0.5961868	0.0252258	0.8380163	0.7287125	0.6989282
1000	0.1445982	0.3820420	0.8361478	0.8004666	0.7143112	0.6979464	0.0713212	0.6190737	0.8300935	0.5792435

0	0.0932948	0.4070363	0.6636794	0.6130645	0.8146282	0.7444772	0.0466864	0.6419336	0.6976193	0.7037482
50	0.0610548	0.5122299	0.9021835	0.6616636	0.7460157	0.3920980	0.0374870	0.7489835	0.8022072	0.7215607
100	0.1317893	0.5933775	0.7863762	0.7319438	0.6696370	0.4215250	0.0684350	0.6727521	0.6862257	0.6971560
150	0.1417342	0.5909118	0.6749961	0.6785125	0.6861440	0.3909586	0.0530851	0.8006520	0.7301772	0.7173674
200	0.1040623	0.4903130	0.7183489	0.7863325	0.7178276	0.2480875	0.0897288	0.8429087	0.6669163	0.6621194
250	0.0896171	0.5826254	0.6737655	0.7548233	0.6203790	0.2921107	0.0603875	0.7391274	0.7364043	0.7010672
300	0.1189116	0.5653635	0.7125673	0.7481674	0.6005965	0.2769743	0.0335163	0.6924969	0.7343137	0.7009856
350	0.1372674	0.5300242	0.6909857	0.7327747	0.7736951	0.2602966	0.0156862	0.7197526	0.6967559	0.6161907
400	0.1166304	0.5781655	0.7092776	0.7230051	0.7405979	0.2621375	0.0264243	0.6479896	0.5677783	0.6698910
450	0.1117522	0.4681326	0.7041031	0.7406674	0.8091744	0.3223428	0.0399141	0.7971597	0.8276667	0.7003818
500	0.0978014	0.4588659	0.7082987	0.8327495	0.8974600	0.3153076	0.0336212	0.7492876	0.6815479	0.6316541
550	0.1089811	0.4830417	0.6192722	0.7114797	0.7373346	0.5994743	0.0443573	0.7245520	0.7575368	0.7741409
600	0.0951244	0.4529160	0.7395205	0.7439765	0.7532085	0.6892542	0.0597771	0.7190948	0.7183213	0.6228812
650	0.1084929	0.4504301	0.6905179	0.6575292	0.7016244	0.6379498	0.0796596	0.6801785	0.7507562	0.6511317
700	0.1283736	0.4926307	0.6912262	0.7624603	0.7128368	0.7748935	0.0405510	0.7764972	0.7167774	0.8676981
750	0.0989375	0.5155474	0.6518062	0.6458168	0.7239057	0.8124777	0.0383474	0.6671780	0.6911985	0.7749885
800	0.0794564	0.5155117	0.6228377	0.6520393	0.7890045	0.6978437	0.0505733	0.7139345	0.6375053	0.7413380
850	0.0969123	0.6729261	0.6275475	0.6797783	0.7327386	0.7062753	0.0521163	0.6578758	0.7248200	0.6831215
900	0.0918620	0.5011247	0.7766155	0.8517279	0.5523552	0.6092646	0.0438791	0.7860415	0.6835437	0.6415693
950	0.1237940	0.4887565	0.6207218	0.6594091	0.6416645	0.6207836	0.0318893	0.7584189	0.6599634	0.6466940
1000	0.1051400	0.6369221	0.6729951	0.7062145	0.5875650	0.6856422	0.0484332	0.7090742	0.7555923	0.6263450

0	0.0820461	0.4311439	0.7363191	0.5807059	0.7000097	0.7739862	0.0256968	0.7899630	0.9031741	0.7420979
50	0.0820014	0.7497490	0.7502969	0.7389664	0.3596746	0.6253464	0.0339958	0.3335602	0.6305306	0.6797556
100	0.0657579	0.6601074	0.7606752	0.6023059	0.3149462	0.6854536	0.0345030	0.2484312	0.7965292	0.6055640
150	0.0647361	0.7441206	0.6972161	0.6977937	0.2398426	0.8470368	0.0892652	0.2333443	0.7679586	0.6871306
200	0.1102711	0.5868941	0.6041589	0.5434981	0.2412039	0.7187830	0.1046860	0.1808130	0.5799288	0.6088474
250	0.0686695	0.5646228	0.7865959	0.5546636	0.1653397	0.8544796	0.1384824	0.2478819	0.5789777	0.6637205
300	0.0414773	0.5661169	0.7193303	0.5998925	0.1761104	0.7816943	0.1785320	0.1530315	0.6710243	0.7537837
350	0.0950927	0.6233104	0.7101557	0.5881344	0.2631225	0.6807400	0.2275421	0.2207528	0.6519379	0.6915691
400	0.0651086	0.6011951	0.7440577	0.5390561	0.1761065	0.6798634	0.1839149	0.1468410	0.6698057	0.6767266
450	0.1473975	0.6269658	0.6746550	0.5088851	0.2814223	0.6149552	0.1978573	0.2045096	0.6511216	0.6932054
500	0.0622371	0.5919592	0.7272718	0.4867209	0.2534078	0.6432505	0.1922473	0.1866328	0.7004615	0.6307119
550	0.0458281	0.4396268	0.7328155	0.4923201	0.6751309	0.7163463	0.3000270	0.5614280	0.7069698	0.7097163
600	0.0802176	0.4811099	0.7063070	0.7112567	0.7315214	0.6316182	0.1157188	0.6162319	0.7460207	0.6722068
650	0.1523802	0.5508265	0.6492869	0.8059812	0.6455061	0.6813386	0.0534767	0.7432449	0.8038338	0.7258231
700	0.0691243	0.5028478	0.6908325	0.5349161	0.6283026	0.7087387	0.0421956	0.8580860	0.6880178	0.6402378
750	0.0931965	0.4571677	0.8097641	0.5269200	0.7541043	0.6627595	0.0147183	0.7405737	0.6673457	0.9026607
800	0.1356412	0.5452935	0.8298307	0.6686385	0.7302991	0.7598788	0.0531235	0.7198569	0.6650964	0.6716715
850	0.1026412	0.5932353	0.7433964	0.6594133	0.8801349	0.6072983	0.0673032	0.8069532	0.6118269	0.7112362
900	0.0692283	0.5549967	0.5858229	0.7146208	0.9290295	0.7339690	0.0535312	0.6129339	0.7620336	0.7214222
950	0.1161552	0.5420159	0.6762621	0.8718597	0.5944325	0.4775391	0.0558010	0.6745781	0.7763930	0.8210308
1000	0.0832511	0.5985780	0.6575853	0.7095251	0.6404318	0.6742508	0.0645494	0.6531249	0.6783560	0.7426436

0	0.0924554	0.5326075	0.6690159	0.6378378	0.8809524	0.6950116	0.0531901	0.7092451	0.6403670	0.6424186
50	0.0132804	0.7596090	0.5804377	0.6999178	0.4240983	0.6854282	0.0256537	0.3894585	0.7294518	0.7064996
100	0.0011507	0.7672305	0.6389725	0.7373860	0.5274075	0.6575587	0.1316958	0.3008653	0.5969704	0.7811149
150	0.0001280	0.5797394	0.7137541	0.6973165	0.5463231	0.7953181	0.1857799	0.2983781	0.6941618	0.7259088
200	0.0001431	0.6742964	0.6230949	0.7358806	0.4702265	0.7415388	0.3335174	0.1871104	0.6246192	0.7799061
250	0.0027951	0.8061533	0.6532032	0.7056877	0.4683556	0.7132481	0.3295428	0.2731207	0.7320571	0.5883774
300	0.0000000	0.5956108	0.7270377	0.6180050	0.4339102	0.5968547	0.3077379	0.2561726	0.7146653	0.7483674
350	0.0000692	0.6290383	0.7344631	0.5904631	0.4834590	0.6814390	0.3000306	0.2431148	0.6996685	0.7134606
400	0.0000854	0.5815160	0.6811175	0.6856977	0.4149991	0.6708911	0.2573064	0.1738166	0.6549286	0.6171769
450	0.0000689	0.7800291	0.6982946	0.6106644	0.5187630	0.5986972	0.3524267	0.2334124	0.6773518	0.6963143
500	0.0013071	0.7047982	0.6908428	0.6861796	0.5527629	0.5535481	0.3333072	0.2092441	0.6367555	0.6509178
550	0.0666711	0.4610536	0.7914394	0.6253009	0.7002613	0.6111263	0.1975136	0.7434365	0.6783237	0.7196912
600	0.1059465	0.5259324	0.6784753	0.6510666	0.7193184	0.7296396	0.1387415	0.5953198	0.5791331	0.6878464
650	0.0820892	0.4667253	0.6822521	0.7338060	0.7480514	0.5949462	0.0831432	0.6916837	0.7411651	0.7440685
700	0.1203822	0.5224134	0.7453040	0.6855191	0.7865648	0.7523142	0.0920652	0.6625509	0.5985079	0.7622382
750	0.0591937	0.4692770	0.8364990	0.6446800	0.6993177	0.7540672	0.0490383	0.5900482	0.7176997	0.8115739
800	0.0868479	0.4440657	0.6287801	0.6792813	0.7159531	0.7128132	0.0396561	0.7057185	0.7690494	0.7401325
850	0.0541820	0.5586164	0.7048888	0.9229374	0.6371515	0.6000211	0.0621393	0.7054288	0.6523461	0.6887028
900	0.0800074	0.5224421	0.6858561	0.7240808	0.7521504	0.6860461	0.0569344	0.6589793	0.8450246	0.8089149
950	0.0936042	0.5511367	0.7207869	0.7043486	0.7012955	0.7607703	0.0634951	0.6682068	0.6847341	0.7359338
1000	0.0712593	0.5986242	0.7557763	0.7702546	0.7471122	0.6429277	0.0380657	0.6869087	0.7206259	0.7778541

0	0.1176287	0.5307291	0.6337205	0.6331350	0.8508866	0.7334546	0.0440952	0.6273203	0.7883871	0.7299820
50	0.1158649	0.4879002	0.7446430	0.7161547	0.5462754	0.7168700	0.0318544	0.5728853	0.8343694	0.7653086
100	0.1039888	0.4977971	0.7746940	0.6498939	0.4011228	0.7630890	0.0225615	0.5250372	0.7925536	0.7809532
150	0.0702370	0.4759198	0.7014326	0.7338131	0.2263337	0.7177382	0.0288501	0.5457003	0.7308357	0.7089334
200	0.1305435	0.5457845	0.8687398	0.7945001	0.3079760	0.8579353	0.0251220	0.4601315	0.7070666	0.7491971
250	0.0618062	0.5353086	0.6250113	0.6743706	0.2737550	0.6105208	0.0580051	0.5220913	0.6937637	0.5783825
300	0.1105868	0.5137121	0.6930628	0.6966989	0.2736993	0.7150410	0.0327206	0.4527693	0.8231519	0.7350963
350	0.1229761	0.5633922	0.7361570	0.5480645	0.3126341	0.6992596	0.0342265	0.4881693	0.6600426	0.7581479
400	0.1135157	0.4882617	0.7191968	0.5264078	0.3047275	0.8253585	0.0321176	0.5130684	0.6430656	0.6275585
450	0.0646618	0.5857862	0.6698047	0.5368018	0.1960356	0.6138421	0.0192641	0.4512675	0.6993620	0.7336875
500	0.0991226	0.6556195	0.6311374	0.6499533	0.2183574	0.6469454	0.0486605	0.5442567	0.7300976	0.6923047
550	0.1513362	0.5633395	0.7505853	0.5371884	0.5867695	0.6996689	0.0605304	0.6942811	0.7178693	0.6875874
600	0.0781798	0.5192685	0.7475567	0.7765189	0.6602950	0.8063640	0.0582015	0.6736385	0.7376874	0.7277855
650	0.1031893	0.7106089	0.6352623	0.6492352	0.6873555	0.6378787	0.0567795	0.6279813	0.7572279	0.7063307
700	0.1701572	0.5075634	0.7320450	0.7198801	0.7449443	0.7939116	0.0315316	0.7455525	0.7912096	0.6839153
750	0.1071310	0.5237425	0.7004187	0.7768941	0.8274791	0.9153540	0.0827798	0.7430545	0.6622986	0.7340890
800	0.0937144	0.5514873	0.7293702	0.7759350	0.7527580	0.7216860	0.0499667	0.7435986	0.7164910	0.6779552
850	0.1089208	0.4956725	0.7144858	0.4676413	0.6551316	0.6972925	0.0303930	0.6384837	0.6211260	0.7807867
900	0.0609756	0.4798945	0.7318454	0.5701487	0.7246731	0.7588495	0.0646099	0.7047322	0.7198008	0.6664705
950	0.0900370	0.5590066	0.6770962	0.7737220	0.6959211	0.7593902	0.0433887	0.6880043	0.5687853	0.7415121
1000	0.0784012	0.5952764	0.7210929	0.6177822	0.5976180	0.6936170	0.0395513	0.6257480	0.6597197	0.8306892

0	0.0976719	0.5076936	0.6759635	0.6359857	0.7740640	0.7195668	0.0437344	0.7424544	0.7992135	0.7250717
50	0.0584702	0.5391244	0.7456127	0.7438648	0.6441949	0.6103620	0.0096549	0.6786836	0.1819556	0.8966889
100	0.0743380	0.5906593	0.7691375	0.6682081	0.6906071	0.7759968	0.0150207	0.7481977	0.0761794	0.7035834
150	0.1323227	0.5124481	0.7462181	0.6937294	0.8237276	0.7064666	0.0252519	0.7188580	0.0749279	0.6921216
200	0.1054870	0.3818296	0.7398761	0.7655966	1.0000000	0.8597699	0.0347543	0.6095579	0.0565153	0.6295980
250	0.1700265	0.4919946	0.7088684	0.7148384	0.7680501	0.7065751	0.0162289	0.5868988	0.0626206	0.6182976
300	0.1347248	0.5261720	0.8225645	0.7481233	0.7376553	0.6755901	0.0247220	0.7305874	0.0498486	0.5604887
350	0.1453166	0.6204632	0.6779515	0.7013752	0.6299248	0.5613980	0.0093788	0.7213864	0.0657789	0.6780439
400	0.1117735	0.4320621	0.6918352	0.7898475	0.6901055	0.7274947	0.0131757	0.7752788	0.0397469	0.6144902
450	0.1206282	0.4517357	0.7215131	0.6165265	0.6445111	0.7767987	0.0200355	0.6468604	0.0362985	0.7421241
500	0.1168177	0.5203023	0.8050923	0.8051823	0.8183435	0.7576996	0.0139419	0.6419716	0.0358347	0.7498012
550	0.0657910	0.6200859	0.5901094	0.5978889	0.7609925	0.6403065	0.0311162	0.6704513	0.7102771	0.6774526
600	0.1101017	0.4886110	0.7843435	0.7253121	0.6538367	0.7157613	0.0793730	0.9490300	0.7498378	0.8380557
650	0.1228433	0.5948976	0.8413615	0.7359287	0.8706299	0.6491691	0.0364513	0.7195629	0.7577848	0.8776176
700	0.0794645	0.4718117	0.6181505	0.6262740	0.6213102	0.5726449	0.0701421	0.6946480	0.6534425	0.8111212
750	0.1063890	0.4626964	0.7105814	0.6458849	0.7454219	0.7817064	0.0183020	0.5834116	0.8515522	0.6812427
800	0.0725423	0.6249549	0.6834769	0.5641913	0.6169612	0.5656538	0.0482813	0.6808824	0.5979868	0.7559193
850	0.1667890	0.6142022	0.7175147	0.6810202	0.8099738	0.7851887	0.0818970	0.6849667	0.7222679	0.8085583
900	0.0724927	0.5848895	0.6589284	0.6592781	0.5269580	0.7512544	0.0558386	0.6609464	0.6181890	0.7697948
950	0.1859209	0.5608515	0.7825991	0.7906425	0.7183016	0.6902529	0.0529074	0.7597077	0.5902561	0.6599954
1000	0.1290188	0.5245026	0.7662911	0.7411540	0.6983847	0.7280225	0.0674882	0.6951958	0.8083167	0.6803744

0	0.0765454	0.5878435	0.7281777	0.6132594	0.9565468	0.7982368	0.0528601	0.7524523	0.8359365	0.6614978
50	0.1010276	0.4638457	0.6822008	0.8312715	0.7488024	0.3281833	0.0592996	0.8163234	0.7744871	0.8521096
100	0.0633931	0.4898105	0.6040432	0.6843368	0.6320599	0.1015870	0.0503959	0.6582976	0.7413177	0.8307815
150	0.0576520	0.5545579	0.7402629	0.7383477	0.8178734	0.0451108	0.0260095	0.5594011	0.7497953	0.6464579
200	0.1129375	0.4271384	0.7099325	0.5787730	0.6038860	0.0728954	0.0825836	0.7632164	0.7010278	0.7534520
250	0.2655687	0.4485004	0.8029708	0.5808983	0.6943616	0.0444853	0.0424046	0.5700552	0.7606305	0.6603309
