YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.7619261	1.0000000	0.0077722	0.5800682	0.3781689	0.6767938	0.4327798	0.9055014	0.7168284	0.9973436
0.7498144	0.8249731	0.3563426	0.6165724	0.2983463	0.9901043	0.1706031	0.8830650	0.5378896	0.6087002
0.7619261	1.0000000	0.3861544	0.1835108	0.8735038	0.0950308	0.7336212	0.9724074	0.9982787	1.0000000
0.6942997	0.8752416	0.4122108	0.2978506	0.4891879	0.4126600	0.6027811	0.9372700	0.5922924	1.0000000
0.8660864	1.0000000	0.4234074	0.1403537	0.4325396	0.4739356	0.4232979	0.9476106	0.9280647	0.7667329
0.7619261	1.0000000	0.2583037	0.4660903	0.7018050	0.2139145	0.5975546	0.8112069	0.5398142	1.0000000
0.8675475	0.9877812	0.0098535	0.8042693	0.3013654	0.8201369	0.3310928	0.9180455	0.7603234	0.9756134
0.4207351	0.5729109	0.2873525	0.4432720	0.3413311	0.7966299	0.5260299	0.9366096	0.8504117	0.5957905
0.7770674	0.9280630	0.0540828	0.9735601	0.1893790	0.6472948	0.4420959	0.9338173	0.8347257	1.0000000
0.8311834	1.0000000	0.0767893	0.1407264	0.7294189	0.1926865	0.7328036	0.8674864	0.5665774	0.8245807
