YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.1881045	0.1217496	0.2501224	0.5104090	0.8233431	0.8190117	0.6292222	0.5974426	0.7554465	1.0000000
0.5082213	0.4579724	0.7311500	0.4955433	0.8641839	0.8703976	0.5032349	0.7428246	0.8019007	0.5881148
0.5417557	0.0835501	0.3107616	0.4924205	0.8727164	0.8632386	0.5360146	0.6818474	0.8337804	1.0000000
0.0687078	0.0377826	0.2109131	0.4623140	0.9602249	0.8423437	0.7389668	0.2614093	0.3942190	0.6510168
0.5515675	0.2300885	0.5076297	0.6576505	0.8253406	0.8331211	0.3645557	0.7809173	0.8563281	0.9459411
0.2616350	0.1503145	0.3478685	0.6295058	0.8191707	0.8033314	0.3597172	0.8089548	0.8600501	1.0000000
0.1155839	0.0436393	0.2260745	0.4811046	0.9027493	0.7868171	0.5255255	0.6935230	0.8898424	0.9233223
0.1222631	0.0777756	0.2996873	0.5703399	0.8180907	0.7986816	0.3874198	0.2937518	0.4718283	0.7248740
0.4182151	0.0736629	0.2448924	0.5039279	0.8834634	0.9519710	0.7776801	0.2935827	0.4715669	0.8020577
0.4804677	0.2940188	0.2726166	0.4948139	0.8660173	0.8523872	0.5451824	0.6740464	0.7506533	0.7492261
