YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.4717796	0.2036262	0.4507368	0.4280638	0.1266034	1.0978505	0.9952869	0.7515040	1.0570095	0.9636912
0.8149691	0.0934841	0.4872794	0.4596510	0.2071271	1.0211081	0.9827436	0.7291230	1.0078345	1.0321384
0.7455362	0.0384729	0.1362118	0.4930412	0.1152551	1.1263880	1.0590584	0.7722083	0.9372110	1.0585157
1.0453883	0.8562208	0.9767672	0.1090629	0.1594604	1.0496549	1.0065591	0.6216461	0.9477181	1.0100126
1.0469844	0.1655001	0.4237334	0.4629665	0.0726944	1.1032269	0.9836157	0.7536847	1.0391091	1.0558619
0.8287338	0.0985098	0.1987490	0.8864401	0.7899068	0.4764281	0.9718633	0.7454879	1.0790051	1.0443203
0.9183686	0.1222155	0.3479091	0.4972377	0.1668509	1.0096006	0.5567263	0.6374521	0.9853387	1.0115528
0.7486293	0.2823375	0.4394517	0.4213962	0.1471651	0.9735696	1.0109374	0.3469665	1.0053078	0.9869980
0.5204823	0.2506513	0.3324143	0.4390929	0.1535553	1.0283605	1.0687542	0.0798650	0.4480728	0.9681802
0.9237768	0.1854969	0.3781445	0.4824937	0.1498575	1.0253568	1.0041890	0.8619352	1.0279043	0.5730169
