YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0000026	0.2423277	0.4392112	0.4998744	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
0.6390691	0.0000020	0.4392252	0.4998733	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
0.6423271	0.0179070	0.0000025	0.3835977	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
0.7246499	0.2717351	0.9999901	0.0000023	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
0.7220789	0.2632210	0.6148100	0.4061897	0.0000000	1.0000000	1.0000000	0.5060620	1.0000000	1.0000000
0.6832053	0.1449418	0.2510765	0.6404768	1.0000000	0.0000000	1.0000000	0.5060620	1.0000000	1.0000000
0.4969047	0.9346911	0.4392252	0.4998733	0.4783824	1.0000000	0.0000041	0.5060620	1.0000000	1.0000000
0.9930640	0.2423248	0.4392225	0.4998661	0.4783824	1.0000000	1.0000000	0.0000020	1.0000000	1.0000000
0.6021345	0.2423292	0.4392140	0.4998779	0.4783824	1.0000000	1.0000000	0.9999996	0.0000021	1.0000000
0.7156042	0.2423292	0.4392140	0.4998779	0.4783824	1.0000000	1.0000000	0.5060620	1.0000000	0.0000015
