YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.5254677	0.6135731	0.4178335	0.7668721	0.5242721	0.9373159	0.2995222	0.5165887	0.9631759	0.9232115
0.4114338	0.3080298	0.3795248	0.7531120	0.5509694	0.8819575	0.2321439	0.4419761	0.9074084	1.0412173
0.9632848	0.7683413	0.2216692	0.7603127	0.5400684	0.9407435	0.3176238	0.4796831	0.9988377	1.0966284
0.8597875	0.5435459	0.3540007	0.3808590	0.4980989	0.9240042	0.2456926	0.4912042	0.9444452	1.0504084
0.8991712	0.5376583	0.3200938	0.8530204	0.2611851	0.8822457	0.2881921	0.4511782	0.8473922	1.0296330
0.9350510	0.5794502	0.4020598	0.9322454	0.2914396	0.4439838	0.2902582	0.5147090	0.8777262	0.9432655
0.9473265	0.6815990	0.4485402	0.8232018	0.4900271	1.0818710	0.1523354	0.4530659	0.9389495	1.0342511
0.9846021	0.7722247	0.3671200	0.8424927	0.4352164	0.7311613	0.5496782	0.2837602	0.8898374	0.8563407
0.9497639	0.7138274	0.3221910	0.7330794	0.5545368	0.8257971	0.3987501	0.3318301	0.3755998	0.9996382
0.9852642	0.7252867	0.3119902	0.7713610	0.4893977	0.8773768	0.3417852	0.3796310	0.5578223	0.5276250
