YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.1302504	1.0117696	0.1059143	0.3556039	1.0050533	0.2382147	0.7101225	0.6977441	0.8157241	1.0305814
0.3096801	0.5212742	0.0505338	0.1800105	0.9139927	0.2106953	0.8690081	0.4257737	0.7375759	1.0154295
0.3018564	1.1123116	0.0275281	0.2187309	0.8658638	0.2269294	0.5537616	0.8650323	0.8152690	0.9685529
0.2313392	1.0530641	0.1176427	0.1779127	0.9386568	0.2304962	0.5054630	0.8490258	0.8345293	1.0904077
0.2895236	0.9614174	0.0741569	0.2898806	0.4798258	0.2204146	0.6451793	0.6806263	0.9004089	0.9291927
0.2227105	1.0900272	0.0873827	0.3038317	0.6198310	0.1151130	0.6352567	0.6965005	0.7582696	0.9576487
0.3129604	1.0455584	0.3519501	0.7338059	0.9220659	0.3314917	0.3681305	0.6557349	0.7982205	0.9796637
0.2213106	0.5478890	0.0364567	0.1179183	0.9114402	0.2019396	0.9145812	0.2871262	0.7904045	1.0033736
0.7473878	0.9963467	0.0808691	0.2402900	0.9984333	0.1979637	0.6703716	0.7801031	0.4107260	1.1083954
0.7019765	1.0506444	0.0404184	0.2165392	0.9841853	0.2420227	0.6946674	0.7570875	0.6533729	0.4554561
