YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.2234220	0.6795565	0.6076565	0.9999464	0.1629145	0.4110114	0.0174393	0.9487542	0.1695320	0.8178611
0.2447784	0.7700324	0.9494072	0.8437262	0.1355493	0.3677269	0.0402764	0.7919573	0.0341717	0.6997673
0.1426046	0.5190644	0.9999106	0.7678880	0.1340904	0.3654858	0.0245040	0.8239239	0.0078106	1.0000000
0.1488970	0.7577049	0.8061460	0.6511826	0.2086792	0.2298151	0.0366049	0.8380622	0.1733814	0.9938407
0.1462627	0.6960179	0.9997620	0.9996321	0.1635743	0.4118014	0.0317565	0.7867466	0.0241936	0.9884402
0.1110062	0.4941767	0.9458518	0.6144908	0.2669198	0.5673876	0.0243496	0.7703433	0.0699200	1.0000000
0.1427234	0.5625548	0.9999865	0.9999679	0.7618041	0.6755338	0.0148600	0.9290388	0.0519499	1.0000000
0.1046654	0.7930914	0.7705042	0.8420378	0.3744621	0.6657772	0.0160810	0.9426127	0.0820691	1.0000000
0.1427259	0.6614832	0.9999664	0.9999303	0.3068986	0.6280609	0.0189148	0.9082817	0.0523134	1.0000000
0.0951145	0.4758378	0.5773440	0.9987817	0.4748800	0.4149605	0.0460559	0.7333659	0.0187737	1.0000000
