YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.3563274	0.6213232	0.1186440	0.0664196	0.1339255	0.2272813	0.8774698	0.7041562	0.1555315	0.8038837
0.7136084	0.2584313	0.0878923	0.0574171	0.0971287	0.2197718	0.7538832	0.8963172	0.1416762	0.7503124
0.7093381	0.7670197	0.0542269	0.0921667	0.1626899	0.2151818	0.7828157	0.7984890	0.1649661	0.8260492
0.8697125	0.5984922	0.0941845	0.0120907	0.1286073	0.1906746	0.7598570	0.7105494	0.1495810	0.6670979
0.7473668	0.7341995	0.0274832	0.0597321	0.0515986	0.2373104	0.9310250	0.7530527	0.1745995	0.7130499
0.6669372	0.7045057	0.1024024	0.1754558	0.0925455	0.1177689	0.9684454	0.8056269	0.1624502	0.8324934
0.5381331	0.4039620	0.2662214	0.1910607	0.3839298	0.5499967	0.3848231	0.6454626	0.1668546	0.7782203
0.8228659	0.7442493	0.1149950	0.0971861	0.0853456	0.2396456	0.8575086	0.4156142	0.2297815	0.7605656
0.7278191	0.6860881	0.1009072	0.0636782	0.1127020	0.3077302	0.7093023	0.6426153	0.0863471	0.8063039
0.7928386	0.7397837	0.0418628	0.0680390	0.0940452	0.2240921	0.7404708	0.6495671	0.3170645	0.4483983
