YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.4177452	0.5644702	0.8484741	0.4339675	0.3858337	0.1879222	0.0971791	0.9466988	0.3890140	0.9618362
0.3880392	0.5627410	0.6900771	0.4241827	0.8255098	0.3384567	0.1259025	1.0375273	0.8046559	1.0116314
0.5668257	0.5485069	0.6697733	0.5067051	0.7683967	0.0422701	0.0051650	1.0277869	0.8373430	1.0356295
0.5483028	0.4464789	0.7229246	0.4894252	0.8370196	0.1744973	0.1271730	0.4634441	0.8556342	0.7311756
0.3903563	0.5235460	0.8699802	0.5712224	0.8134090	0.0505277	0.0476982	0.7110561	0.9157143	1.0482900
0.7809387	0.4592177	0.7082265	0.4857434	0.3556946	0.2384437	0.1226897	0.9599144	0.8950573	1.0523754
0.6617893	0.4770751	0.7189024	0.5640076	0.6620091	0.1081144	0.0901854	0.8679503	0.9109308	0.9403124
0.2620131	0.6917423	0.6982964	0.5788794	0.7183013	0.1186718	0.0778460	0.9136785	0.9195483	0.7431768
0.7416225	0.4743923	0.7455650	0.5223807	0.4408977	0.1234879	0.1049856	0.9135010	0.8469105	0.8129885
0.2716775	0.6173114	0.7274618	0.5941755	0.5621014	0.2903613	0.1443555	0.6654241	0.9713229	0.9498168
