YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.3061998	0.8991724	0.5625503	0.7997933	0.5260891	0.8075364	0.9547815	0.0538505	0.1882806	1.0000000
0.9552234	0.4495897	0.5625503	0.7997933	0.5260891	0.8596310	0.9547815	0.0538505	0.1882806	1.0000000
0.9568579	0.4448739	0.2812752	0.7997933	0.5260891	0.8611653	0.9547815	0.0538505	0.1882806	1.0000000
0.5435334	0.9722998	0.8271023	0.3998967	0.5260891	0.8059485	0.9547815	0.0538505	0.1882806	1.0000000
0.5517801	0.9633069	0.7622953	0.4925734	0.2630445	0.8061155	0.9547815	0.0538505	0.1882806	1.0000000
0.6123710	0.8991724	0.5625503	0.7997933	0.5260891	0.4038061	0.9547815	0.0538505	0.1882806	1.0000000
0.5327823	0.9840077	0.9682247	0.1539532	0.1152152	0.6697173	0.4773908	0.0538505	0.1882806	1.0000000
0.6152228	0.8952492	0.5548036	0.8140936	0.5504854	0.8125544	0.9842075	0.0269254	0.1882806	1.0000000
0.6123956	0.8990978	0.5622559	0.8006209	0.5277543	0.8078630	0.9568694	0.0521329	0.0941405	1.0000000
0.5661428	0.9480812	0.6886152	0.5987647	0.3247922	0.7598326	0.7354007	0.1976211	0.5562134	0.5000000
