"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W

0	0.0261518	0.7389703	0.5128127	0.9555503	1.0119684	0.6748206	0.5044580	0.9107595	0.5796392	0.4630941
50	0.0269290	0.7272179	0.4808337	1.0115083	0.9332471	0.6029531	0.4454337	0.8986529	0.5550681	0.5038190
100	0.0348256	0.7093653	0.4427266	0.9640931	0.9377299	0.6884939	0.5252458	0.9212123	0.5723164	0.4133075
150	0.0175897	0.7855661	0.4725614	0.9258347	0.9755502	0.6652701	0.5454906	0.8010780	0.6247519	0.4374353
200	0.0213590	0.7326520	0.4135870	0.9625999	1.0446601	0.6380502	0.4954061	0.8981695	0.5736282	0.4038501
250	0.0176533	0.7373340	0.5108641	0.9707294	0.9963935	0.6012482	0.4743834	0.9090079	0.5419040	0.4449084
300	0.0284152	0.7452590	0.4626817	1.0071215	1.0757623	0.6892851	0.4696568	0.8961491	0.5799634	0.3798353
350	0.0192633	0.7456251	0.4953745	1.0137051	1.0175762	0.6508989	0.4613145	0.9667628	0.6065666	0.3974567
400	0.0182418	0.7611413	0.4589003	0.9714981	0.9452023	0.6644377	0.4900335	0.8747432	0.6738329	0.4178835
450	0.0085094	0.7089614	0.4232974	0.9976760	0.9118986	0.7113807	0.4876003	0.8200815	0.6822749	0.4740970
500	0.0235931	0.6783878	0.5018183	0.9332855	0.9542488	0.7841236	0.4467644	0.8770377	0.5261050	0.4419258
550	0.0250447	0.6790744	0.5486269	0.9710524	1.0107765	0.6953550	0.5471017	0.8993445	0.5301643	0.4670943
600	0.0295674	0.7260719	0.5378124	1.0783412	1.0294774	0.6309695	0.5640152	0.9522821	0.5196899	0.4400259
650	0.0352415	0.7457281	0.4670139	1.0757151	0.9993495	0.6014192	0.5416534	0.9274605	0.5620986	0.4365263
700	0.0264235	0.7235544	0.4884683	1.0442302	0.9880054	0.6047574	0.4904060	0.8486161	0.6358413	0.4158918
750	0.0158082	0.6939980	0.4932963	0.9960525	0.9270687	0.6568613	0.5166211	0.8542198	0.5626815	0.4227800
