YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.3146323	0.9102039	0.9393990	0.6392903	0.0000000	0.6760440	1.0000000	0.5105891	1.0000000
0.0000000	0.0000000	0.9210243	0.9625330	0.7250561	0.0370142	0.6760439	1.0000000	0.4664246	1.0000000
0.0000001	0.6027527	0.0000007	0.9263176	0.6057768	0.0370154	0.6760433	0.9999995	0.5280091	1.0000000
0.0000000	0.3146314	0.9102054	0.9394004	0.6392921	0.0370141	0.0570394	0.0000000	0.5105886	1.0000000
0.0000000	0.3078495	0.9317198	0.9891721	0.9999990	0.0370143	0.6760439	0.9999999	0.0000000	1.0000000
0.0000000	0.3219582	0.8867763	0.8968017	0.5511834	0.0370141	0.6760440	1.0000000	0.5560815	0.0000000
0.9999998	0.0000000	0.0849357	0.1063261	0.1365946	0.0000003	0.6760433	0.9999996	0.9918549	1.0000000
1.0000000	0.0000000	0.0931407	0.2746556	0.2341366	0.7804864	0.6214781	0.8334417	0.7933949	0.0000000
0.5519034	0.6209883	0.9318290	0.9891772	1.0000000	0.0000000	0.6760440	1.0000000	0.0000000	1.0000000
0.4435831	0.6985669	0.0851338	0.1461400	0.1720456	0.0000000	0.6760439	1.0000000	0.8956694	0.0000004
