YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.2686145	0.0413322	0.3762053	0.1427231	0.1947615	0.6080127	0.1102301	0.0006169	0.7964038	1.0440777
0.0979744	0.3525973	0.5591811	0.1746032	0.6163103	1.0126034	0.4709123	0.0376004	0.7901063	0.9548012
0.1353140	0.0000000	0.1467069	0.1889910	0.1127517	0.4260379	0.0067010	0.0319875	0.6463506	1.0340279
0.1410413	0.2690540	0.0629227	0.1639036	0.2107018	0.5648639	0.6425882	0.1711834	1.1178618	1.0336645
0.0293804	0.2143153	0.0016316	0.0863368	0.3443525	0.0995670	0.0055222	0.0266336	0.9965222	0.9450966
0.6048555	0.2665897	0.4015822	0.1835314	0.2304996	0.6262460	0.4146381	0.0130675	0.9990148	0.9384684
0.1304313	0.0331959	0.2524988	0.1638731	0.1877547	0.3818288	0.0003353	0.0441280	0.7756541	0.9249135
0.0579262	0.1878805	0.3428012	0.0695563	0.5244717	0.0039197	0.0048992	0.0072157	1.1429462	0.9794479
0.5867715	0.2029489	0.0784196	0.1749751	0.3025631	0.6671895	0.1352924	0.4843796	0.5966080	0.9217977
0.1603562	0.0011548	0.0838467	0.0844187	0.3336620	0.5942092	0.3032534	0.0212241	1.0543745	0.9689343
