YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
1.0318108	0.0374725	0.0000000	0.0000000	0.9920067	1.0663653	0.1598679	0.8138820	0.8997919	1.0606408
0.9747209	0.0374790	0.0000000	0.2671288	0.0179170	0.0000000	0.8162511	0.5132218	0.6705800	0.2469362
1.0244075	0.0439058	0.0000000	0.9498946	0.9686772	1.0075412	0.3452663	0.0000000	0.8940126	1.0292667
0.3561692	0.9227985	1.0664193	0.0000000	0.0112737	0.0000000	0.1824884	0.7410118	0.6896492	0.2962849
0.3365497	0.9044203	1.0074405	0.0000000	1.0001045	1.1327798	0.0377021	0.0000000	0.8835983	1.0281255
0.6324259	0.5833591	0.5505374	0.1926558	0.0328047	0.0000000	0.3560084	0.0000000	0.6522317	0.2868050
0.9145076	0.0675975	0.0763964	1.0708618	0.8240437	1.0630715	0.0000000	0.3889140	0.0000000	1.0424851
